shape,r,s,p,n,lifting_coefficient,square_hit,aggregate_mod_p2
fork,43,127,6717031,5461,867748,False,9800927404596
fork,43,127,5518679083,229362,2285928642,False,20096517890182490020
fork,43,127,11078413963,76454,1828603137,False,77832307355528318561
fork,43,379,2053423,684474,1478360,False,2453575593433
fork,43,379,393572551,342237,8930571,False,10516376240912749
fork,43,379,474796799,16297,408922205,False,19072178615786061
fork,43,379,968652448591,48891,936971495552,False,592550464931558991807213
fork,43,7603,7192439,326929,5998997,False,43960359786536
fork,43,7603,116556073223,653858,12230043034,False,3755745197109965473404
fork,43,19531,442311486779,5878831,365730240622,False,71892859776531291929065
fork,43,519499,39092299751,156369199,6950990851,False,1023677436450032156138
fork,43,519499,81624721879,156369199,21152578111,False,5306788601193024236025
fork,127,379,208223359,48133,79433891,False,39970372965307439
fork,127,379,23557541659,336931,499353686,False,448175655482403556326
fork,127,379,26303433043,288798,16483658145,False,282667920257823458442
fork,127,379,46951334851,1010793,44090238403,False,1325904409490908408345
fork,127,379,203924792303,673862,71933879056,False,14794971038149287783912
fork,127,7603,40554403,40554402,16731514,False,23312090248505
fork,127,7603,469272367,5793486,151305502,False,154302381783825064
fork,127,7603,158712548971,965581,119203512583,False,16266637071123075189912
fork,127,19531,18201446707,14882622,1105790087,False,159039004077893421234
fork,127,519499,1979291191,197929119,315403445,False,2721996611333879707
fork,379,7603,335462774467,17289222,194934759769,False,75061958036792859584591
fork,379,19531,250891827607,103631486,77903615684,False,56053303297478918433295
fork,379,519499,13782308471,1378230847,11141874063,False,117486836142981630954
fork,379,519499,79937389127,2756461694,76061699380,False,77985097617199447734
fork,379,519499,124040776231,196890121,71739064740,False,11564608474703674631693
fork,7603,519499,782050677607,23698505382,770598105145,False,481683260273842404988508
