shape,r,s,n,k,optional_r,imprimitive_prime,admitted_q_mod20,status
fork,43,127,5461,1,1,,"11,19",OPEN
fork,43,127,10922,2,1,,"3,7",OPEN
fork,43,127,16383,3,1,,"11,19",OPEN
fork,43,127,32766,6,1,,"3,7",OPEN
fork,43,127,38227,7,1,,"11,19",OPEN
fork,43,127,76454,14,1,,"3,7",OPEN
fork,43,127,114681,21,1,,"11,19",OPEN
fork,43,127,229362,42,1,,"3,7",OPEN
fork,43,379,16297,1,1,,"11,19",OPEN
fork,43,379,32594,2,1,,"3,7",OPEN
fork,43,379,48891,3,1,,"11,19",OPEN
fork,43,379,97782,6,1,,"3,7",OPEN
fork,43,379,114079,7,1,,"11,19",OPEN
fork,43,379,228158,14,1,,"3,7",OPEN
fork,43,379,342237,21,1,,"11,19",OPEN
fork,43,379,684474,42,1,,"3,7",OPEN
fork,43,7603,326929,1,1,,"11,19",OPEN
fork,43,7603,653858,2,1,,"3,7",OPEN
fork,43,7603,980787,3,1,,"11,19",OPEN
fork,43,7603,1961574,6,1,,"3,7",OPEN
fork,43,7603,2288503,7,1,,"11,19",OPEN
fork,43,7603,4577006,14,1,,"3,7",OPEN
fork,43,7603,6865509,21,1,,"11,19",OPEN
fork,43,7603,13731018,42,1,,"3,7",OPEN
fork,43,19531,839833,1,1,,"11,19",OPEN
fork,43,19531,1679666,2,1,,"3,7",OPEN
fork,43,19531,2519499,3,1,,"11,19",OPEN
fork,43,19531,5038998,6,1,,"3,7",OPEN
fork,43,19531,5878831,7,1,,"11,19",OPEN
fork,43,19531,11757662,14,1,,"3,7",OPEN
fork,43,19531,17636493,21,1,,"11,19",OPEN
fork,43,19531,35272986,42,1,,"3,7",OPEN
fork,43,519499,22338457,1,1,,"11,19",OPEN
fork,43,519499,44676914,2,1,,"3,7",OPEN
fork,43,519499,67015371,3,1,,"11,19",OPEN
fork,43,519499,134030742,6,1,,"3,7",OPEN
fork,43,519499,156369199,7,1,,"11,19",OPEN
fork,43,519499,312738398,14,1,,"3,7",OPEN
fork,43,519499,469107597,21,1,,"11,19",OPEN
fork,43,519499,938215194,42,1,,"3,7",OPEN
fork,127,379,48133,1,1,,"11,19",OPEN
fork,127,379,96266,2,1,,"3,7",OPEN
fork,127,379,144399,3,1,,"11,19",OPEN
fork,127,379,288798,6,1,,"3,7",OPEN
fork,127,379,336931,7,1,,"11,19",OPEN
fork,127,379,673862,14,1,,"3,7",OPEN
fork,127,379,1010793,21,1,,"11,19",OPEN
fork,127,379,2021586,42,1,,"3,7",OPEN
fork,127,7603,965581,1,1,,"11,19",OPEN
fork,127,7603,1931162,2,1,,"3,7",OPEN
fork,127,7603,2896743,3,1,,"11,19",OPEN
fork,127,7603,5793486,6,1,,"3,7",OPEN
fork,127,7603,6759067,7,1,,"11,19",OPEN
fork,127,7603,13518134,14,1,,"3,7",OPEN
fork,127,7603,20277201,21,1,,"11,19",OPEN
fork,127,7603,40554402,42,1,,"3,7",OPEN
fork,127,19531,2480437,1,1,,"11,19",OPEN
fork,127,19531,4960874,2,1,,"3,7",OPEN
fork,127,19531,7441311,3,1,,"11,19",OPEN
fork,127,19531,14882622,6,1,,"3,7",OPEN
fork,127,19531,17363059,7,1,,"11,19",OPEN
fork,127,19531,34726118,14,1,,"3,7",OPEN
fork,127,19531,52089177,21,1,,"11,19",OPEN
fork,127,19531,104178354,42,1,,"3,7",OPEN
fork,127,519499,65976373,1,1,,"11,19",OPEN
fork,127,519499,131952746,2,1,,"3,7",OPEN
fork,127,519499,197929119,3,1,,"11,19",OPEN
fork,127,519499,395858238,6,1,,"3,7",OPEN
fork,127,519499,461834611,7,1,,"11,19",OPEN
fork,127,519499,923669222,14,1,,"3,7",OPEN
fork,127,519499,1385503833,21,1,,"11,19",OPEN
fork,127,519499,2771007666,42,1,,"3,7",OPEN
fork,379,7603,2881537,1,1,,"11,19",OPEN
fork,379,7603,5763074,2,1,,"3,7",OPEN
fork,379,7603,8644611,3,1,,"11,19",OPEN
fork,379,7603,17289222,6,1,,"3,7",OPEN
fork,379,7603,20170759,7,1,,"11,19",OPEN
fork,379,7603,40341518,14,1,,"3,7",OPEN
fork,379,7603,60512277,21,1,,"11,19",OPEN
fork,379,7603,121024554,42,1,,"3,7",OPEN
fork,379,19531,7402249,1,1,,"11,19",OPEN
fork,379,19531,14804498,2,1,,"3,7",OPEN
fork,379,19531,22206747,3,1,,"11,19",OPEN
fork,379,19531,44413494,6,1,,"3,7",OPEN
fork,379,19531,51815743,7,1,,"11,19",OPEN
fork,379,19531,103631486,14,1,,"3,7",OPEN
fork,379,19531,155447229,21,1,,"11,19",OPEN
fork,379,19531,310894458,42,1,,"3,7",OPEN
fork,379,519499,196890121,1,1,,"11,19",OPEN
fork,379,519499,393780242,2,1,,"3,7",OPEN
fork,379,519499,590670363,3,1,,"11,19",OPEN
fork,379,519499,1181340726,6,1,,"3,7",OPEN
fork,379,519499,1378230847,7,1,,"11,19",OPEN
fork,379,519499,2756461694,14,1,,"3,7",OPEN
fork,379,519499,4134692541,21,1,,"11,19",OPEN
fork,379,519499,8269385082,42,1,,"3,7",OPEN
fork,7603,19531,148494193,1,1,,"11,19",OPEN
fork,7603,19531,296988386,2,1,,"3,7",OPEN
fork,7603,19531,445482579,3,1,,"11,19",OPEN
fork,7603,19531,890965158,6,1,,"3,7",OPEN
fork,7603,19531,1039459351,7,1,,"11,19",OPEN
fork,7603,19531,2078918702,14,1,,"3,7",OPEN
fork,7603,19531,3118378053,21,1,,"11,19",OPEN
fork,7603,19531,6236756106,42,1,,"3,7",OPEN
fork,7603,519499,3949750897,1,1,,"11,19",OPEN
fork,7603,519499,7899501794,2,1,,"3,7",OPEN
fork,7603,519499,11849252691,3,1,,"11,19",OPEN
fork,7603,519499,23698505382,6,1,,"3,7",OPEN
fork,7603,519499,27648256279,7,1,,"11,19",OPEN
fork,7603,519499,55296512558,14,1,,"3,7",OPEN
fork,7603,519499,82944768837,21,1,,"11,19",OPEN
fork,7603,519499,165889537674,42,1,,"3,7",OPEN
fork,19531,519499,10146334969,1,1,,"11,19",OPEN
fork,19531,519499,20292669938,2,1,,"3,7",OPEN
fork,19531,519499,30439004907,3,1,,"11,19",OPEN
fork,19531,519499,60878009814,6,1,,"3,7",OPEN
fork,19531,519499,71024344783,7,1,,"11,19",OPEN
fork,19531,519499,142048689566,14,1,,"3,7",OPEN
fork,19531,519499,213073034349,21,1,,"11,19",OPEN
fork,19531,519499,426146068698,42,1,,"3,7",OPEN
serial,43,9547,9547,1,0,,"11,19",OPEN
serial,43,9547,19094,2,0,,"3,7",OPEN
serial,43,9547,28641,3,0,,"11,19",OPEN
serial,43,9547,57282,6,0,,"3,7",OPEN
serial,43,9547,66829,7,0,,"11,19",OPEN
serial,43,9547,133658,14,0,,"3,7",OPEN
serial,43,9547,200487,21,0,,"11,19",OPEN
serial,43,9547,400974,42,0,,"3,7",OPEN
serial,43,9547,410521,1,1,,"11,19",OPEN
serial,43,9547,821042,2,1,9547,"3,7",OPEN
serial,43,9547,1231563,3,1,,"11,19",OPEN
serial,43,9547,2463126,6,1,,"3,7",OPEN
serial,43,9547,2873647,7,1,,"11,19",OPEN
serial,43,9547,5747294,14,1,,"3,7",OPEN
serial,43,9547,8620941,21,1,,"11,19",OPEN
serial,43,9547,17241882,42,1,,"3,7",OPEN
serial,43,42743,42743,1,0,,"11,19",OPEN
serial,43,42743,85486,2,0,,"3,7",OPEN
serial,43,42743,128229,3,0,,"11,19",OPEN
serial,43,42743,256458,6,0,,"3,7",OPEN
serial,43,42743,299201,7,0,,"11,19",OPEN
serial,43,42743,598402,14,0,,"3,7",OPEN
serial,43,42743,897603,21,0,,"11,19",OPEN
serial,43,42743,1795206,42,0,,"3,7",OPEN
serial,43,42743,1837949,1,1,,"11,19",OPEN
serial,43,42743,3675898,2,1,,"3,7",OPEN
serial,43,42743,5513847,3,1,,"11,19",OPEN
serial,43,42743,11027694,6,1,,"3,7",OPEN
serial,43,42743,12865643,7,1,,"11,19",OPEN
serial,43,42743,25731286,14,1,42743,"3,7",OPEN
serial,43,42743,38596929,21,1,,"11,19",OPEN
serial,43,42743,77193858,42,1,,"3,7",OPEN
serial,43,18471511,18471511,1,0,,"11,19",OPEN
serial,43,18471511,36943022,2,0,,"3,7",OPEN
serial,43,18471511,55414533,3,0,,"11,19",OPEN
serial,43,18471511,110829066,6,0,,"3,7",OPEN
serial,43,18471511,129300577,7,0,,"11,19",OPEN
serial,43,18471511,258601154,14,0,,"3,7",OPEN
serial,43,18471511,387901731,21,0,,"11,19",OPEN
serial,43,18471511,775803462,42,0,,"3,7",OPEN
serial,43,18471511,794274973,1,1,,"11,19",OPEN
serial,43,18471511,1588549946,2,1,,"3,7",OPEN
serial,43,18471511,2382824919,3,1,18471511,"11,19",OPEN
serial,43,18471511,4765649838,6,1,,"3,7",OPEN
serial,43,18471511,5559924811,7,1,,"11,19",OPEN
serial,43,18471511,11119849622,14,1,,"3,7",OPEN
serial,43,18471511,16679774433,21,1,,"11,19",OPEN
serial,43,18471511,33359548866,42,1,,"3,7",OPEN
serial,43,558801427,558801427,1,0,,"11,19",OPEN
serial,43,558801427,1117602854,2,0,,"3,7",OPEN
serial,43,558801427,1676404281,3,0,,"11,19",OPEN
serial,43,558801427,3352808562,6,0,,"3,7",OPEN
serial,43,558801427,3911609989,7,0,,"11,19",OPEN
serial,43,558801427,7823219978,14,0,,"3,7",OPEN
serial,43,558801427,11734829967,21,0,,"11,19",OPEN
serial,43,558801427,23469659934,42,0,,"3,7",OPEN
serial,43,558801427,24028461361,1,1,,"11,19",OPEN
serial,43,558801427,48056922722,2,1,,"3,7",OPEN
serial,43,558801427,72085384083,3,1,,"11,19",OPEN
serial,43,558801427,144170768166,6,1,558801427,"3,7",OPEN
serial,43,558801427,168199229527,7,1,,"11,19",OPEN
serial,43,558801427,336398459054,14,1,,"3,7",OPEN
serial,43,558801427,504597688581,21,1,,"11,19",OPEN
serial,43,558801427,1009195377162,42,1,,"3,7",OPEN
serial,43,7866608083,7866608083,1,0,,"11,19",OPEN
serial,43,7866608083,15733216166,2,0,,"3,7",OPEN
serial,43,7866608083,23599824249,3,0,,"11,19",OPEN
serial,43,7866608083,47199648498,6,0,,"3,7",OPEN
serial,43,7866608083,55066256581,7,0,,"11,19",OPEN
serial,43,7866608083,110132513162,14,0,,"3,7",OPEN
serial,43,7866608083,165198769743,21,0,,"11,19",OPEN
serial,43,7866608083,330397539486,42,0,,"3,7",OPEN
serial,43,7866608083,338264147569,1,1,,"11,19",OPEN
serial,43,7866608083,676528295138,2,1,7866608083,"3,7",OPEN
serial,43,7866608083,1014792442707,3,1,,"11,19",OPEN
serial,43,7866608083,2029584885414,6,1,,"3,7",OPEN
serial,43,7866608083,2367849032983,7,1,,"11,19",OPEN
serial,43,7866608083,4735698065966,14,1,,"3,7",OPEN
serial,43,7866608083,7103547098949,21,1,,"11,19",OPEN
serial,43,7866608083,14207094197898,42,1,,"3,7",OPEN
serial,43,26041733579107,26041733579107,1,0,,"11,19",OPEN
serial,43,26041733579107,52083467158214,2,0,,"3,7",OPEN
serial,43,26041733579107,78125200737321,3,0,,"11,19",OPEN
serial,43,26041733579107,156250401474642,6,0,,"3,7",OPEN
serial,43,26041733579107,182292135053749,7,0,,"11,19",OPEN
serial,43,26041733579107,364584270107498,14,0,,"3,7",OPEN
serial,43,26041733579107,546876405161247,21,0,,"11,19",OPEN
serial,43,26041733579107,1093752810322494,42,0,,"3,7",OPEN
serial,43,26041733579107,1119794543901601,1,1,,"11,19",OPEN
serial,43,26041733579107,2239589087803202,2,1,,"3,7",OPEN
serial,43,26041733579107,3359383631704803,3,1,,"11,19",OPEN
serial,43,26041733579107,6718767263409606,6,1,,"3,7",OPEN
serial,43,26041733579107,7838561807311207,7,1,,"11,19",OPEN
serial,43,26041733579107,15677123614622414,14,1,26041733579107,"3,7",OPEN
serial,43,26041733579107,23515685421933621,21,1,,"11,19",OPEN
serial,43,26041733579107,47031370843867242,42,1,,"3,7",OPEN
serial,43,172827552198815888791,172827552198815888791,1,0,,"11,19",OPEN
serial,43,172827552198815888791,345655104397631777582,2,0,,"3,7",OPEN
serial,43,172827552198815888791,518482656596447666373,3,0,,"11,19",OPEN
serial,43,172827552198815888791,1036965313192895332746,6,0,,"3,7",OPEN
serial,43,172827552198815888791,1209792865391711221537,7,0,,"11,19",OPEN
serial,43,172827552198815888791,2419585730783422443074,14,0,,"3,7",OPEN
serial,43,172827552198815888791,3629378596175133664611,21,0,,"11,19",OPEN
serial,43,172827552198815888791,7258757192350267329222,42,0,,"3,7",OPEN
serial,43,172827552198815888791,7431584744549083218013,1,1,172827552198815888791,"11,19",OPEN
serial,43,172827552198815888791,14863169489098166436026,2,1,,"3,7",OPEN
serial,43,172827552198815888791,22294754233647249654039,3,1,,"11,19",OPEN
serial,43,172827552198815888791,44589508467294499308078,6,1,,"3,7",OPEN
serial,43,172827552198815888791,52021093211843582526091,7,1,,"11,19",OPEN
serial,43,172827552198815888791,104042186423687165052182,14,1,,"3,7",OPEN
serial,43,172827552198815888791,156063279635530747578273,21,1,,"11,19",OPEN
serial,43,172827552198815888791,312126559271061495156546,42,1,,"3,7",OPEN
serial,43,43955934961951833386625799,43955934961951833386625799,1,0,,"11,19",OPEN
serial,43,43955934961951833386625799,87911869923903666773251598,2,0,,"3,7",OPEN
serial,43,43955934961951833386625799,131867804885855500159877397,3,0,,"11,19",OPEN
serial,43,43955934961951833386625799,263735609771711000319754794,6,0,,"3,7",OPEN
serial,43,43955934961951833386625799,307691544733662833706380593,7,0,,"11,19",OPEN
serial,43,43955934961951833386625799,615383089467325667412761186,14,0,,"3,7",OPEN
serial,43,43955934961951833386625799,923074634200988501119141779,21,0,,"11,19",OPEN
serial,43,43955934961951833386625799,1846149268401977002238283558,42,0,,"3,7",OPEN
serial,43,43955934961951833386625799,1890105203363928835624909357,1,1,,"11,19",OPEN
serial,43,43955934961951833386625799,3780210406727857671249818714,2,1,,"3,7",OPEN
serial,43,43955934961951833386625799,5670315610091786506874728071,3,1,43955934961951833386625799,"11,19",OPEN
serial,43,43955934961951833386625799,11340631220183573013749456142,6,1,,"3,7",OPEN
serial,43,43955934961951833386625799,13230736423547501849374365499,7,1,,"11,19",OPEN
serial,43,43955934961951833386625799,26461472847095003698748730998,14,1,,"3,7",OPEN
serial,43,43955934961951833386625799,39692209270642505548123096497,21,1,,"11,19",OPEN
serial,43,43955934961951833386625799,79384418541285011096246192994,42,1,,"3,7",OPEN
serial,43,236419892853700126919767791480523,236419892853700126919767791480523,1,0,,"11,19",OPEN
serial,43,236419892853700126919767791480523,472839785707400253839535582961046,2,0,,"3,7",OPEN
serial,43,236419892853700126919767791480523,709259678561100380759303374441569,3,0,,"11,19",OPEN
serial,43,236419892853700126919767791480523,1418519357122200761518606748883138,6,0,,"3,7",OPEN
serial,43,236419892853700126919767791480523,1654939249975900888438374540363661,7,0,,"11,19",OPEN
serial,43,236419892853700126919767791480523,3309878499951801776876749080727322,14,0,,"3,7",OPEN
serial,43,236419892853700126919767791480523,4964817749927702665315123621090983,21,0,,"11,19",OPEN
serial,43,236419892853700126919767791480523,9929635499855405330630247242181966,42,0,,"3,7",OPEN
serial,43,236419892853700126919767791480523,10166055392709105457550015033662489,1,1,,"11,19",OPEN
serial,43,236419892853700126919767791480523,20332110785418210915100030067324978,2,1,,"3,7",OPEN
serial,43,236419892853700126919767791480523,30498166178127316372650045100987467,3,1,,"11,19",OPEN
serial,43,236419892853700126919767791480523,60996332356254632745300090201974934,6,1,236419892853700126919767791480523,"3,7",OPEN
serial,43,236419892853700126919767791480523,71162387748963738202850105235637423,7,1,,"11,19",OPEN
serial,43,236419892853700126919767791480523,142324775497927476405700210471274846,14,1,,"3,7",OPEN
serial,43,236419892853700126919767791480523,213487163246891214608550315706912269,21,1,,"11,19",OPEN
serial,43,236419892853700126919767791480523,426974326493782429217100631413824538,42,1,,"3,7",OPEN
serial,127,2287,2287,1,0,,"11,19",OPEN
serial,127,2287,4574,2,0,,"3,7",OPEN
serial,127,2287,6861,3,0,,"11,19",OPEN
serial,127,2287,13722,6,0,,"3,7",OPEN
serial,127,2287,16009,7,0,,"11,19",OPEN
serial,127,2287,32018,14,0,,"3,7",OPEN
serial,127,2287,48027,21,0,,"11,19",OPEN
serial,127,2287,96054,42,0,,"3,7",OPEN
serial,127,2287,290449,1,1,,"11,19",OPEN
serial,127,2287,580898,2,1,2287,"3,7",OPEN
serial,127,2287,871347,3,1,,"11,19",OPEN
serial,127,2287,1742694,6,1,,"3,7",OPEN
serial,127,2287,2033143,7,1,,"11,19",OPEN
serial,127,2287,4066286,14,1,,"3,7",OPEN
serial,127,2287,6099429,21,1,,"11,19",OPEN
serial,127,2287,12198858,42,1,,"3,7",OPEN
serial,127,23623,23623,1,0,,"11,19",OPEN
serial,127,23623,47246,2,0,,"3,7",OPEN
serial,127,23623,70869,3,0,,"11,19",OPEN
serial,127,23623,141738,6,0,,"3,7",OPEN
serial,127,23623,165361,7,0,,"11,19",OPEN
serial,127,23623,330722,14,0,,"3,7",OPEN
serial,127,23623,496083,21,0,,"11,19",OPEN
serial,127,23623,992166,42,0,,"3,7",OPEN
serial,127,23623,3000121,1,1,,"11,19",OPEN
serial,127,23623,6000242,2,1,,"3,7",OPEN
serial,127,23623,9000363,3,1,,"11,19",OPEN
serial,127,23623,18000726,6,1,23623,"3,7",OPEN
serial,127,23623,21000847,7,1,,"11,19",OPEN
serial,127,23623,42001694,14,1,,"3,7",OPEN
serial,127,23623,63002541,21,1,,"11,19",OPEN
serial,127,23623,126005082,42,1,,"3,7",OPEN
serial,127,133351,133351,1,0,,"11,19",OPEN
serial,127,133351,266702,2,0,,"3,7",OPEN
serial,127,133351,400053,3,0,,"11,19",OPEN
serial,127,133351,800106,6,0,,"3,7",OPEN
serial,127,133351,933457,7,0,,"11,19",OPEN
serial,127,133351,1866914,14,0,,"3,7",OPEN
serial,127,133351,2800371,21,0,,"11,19",OPEN
serial,127,133351,5600742,42,0,,"3,7",OPEN
serial,127,133351,16935577,1,1,,"11,19",OPEN
serial,127,133351,33871154,2,1,,"3,7",OPEN
serial,127,133351,50806731,3,1,,"11,19",OPEN
serial,127,133351,101613462,6,1,,"3,7",OPEN
serial,127,133351,118549039,7,1,,"11,19",OPEN
serial,127,133351,237098078,14,1,,"3,7",OPEN
serial,127,133351,355647117,21,1,133351,"11,19",OPEN
serial,127,133351,711294234,42,1,,"3,7",OPEN
serial,127,4283203,4283203,1,0,,"11,19",OPEN
serial,127,4283203,8566406,2,0,,"3,7",OPEN
serial,127,4283203,12849609,3,0,,"11,19",OPEN
serial,127,4283203,25699218,6,0,,"3,7",OPEN
serial,127,4283203,29982421,7,0,,"11,19",OPEN
serial,127,4283203,59964842,14,0,,"3,7",OPEN
serial,127,4283203,89947263,21,0,,"11,19",OPEN
serial,127,4283203,179894526,42,0,,"3,7",OPEN
serial,127,4283203,543966781,1,1,,"11,19",OPEN
serial,127,4283203,1087933562,2,1,,"3,7",OPEN
serial,127,4283203,1631900343,3,1,,"11,19",OPEN
serial,127,4283203,3263800686,6,1,,"3,7",OPEN
serial,127,4283203,3807767467,7,1,,"11,19",OPEN
serial,127,4283203,7615534934,14,1,4283203,"3,7",OPEN
serial,127,4283203,11423302401,21,1,,"11,19",OPEN
serial,127,4283203,22846604802,42,1,,"3,7",OPEN
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,1,0,,"11,19",OPEN
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,29387358770557187699218413430556141945466638919302188037718792656960431486368179321289062,2,0,,"3,7",OPEN
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,44081038155835781548827620145834212918199958378953282056578188985440647229552268981933593,3,0,,"11,19",OPEN
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,88162076311671563097655240291668425836399916757906564113156377970881294459104537963867186,6,0,,"3,7",OPEN
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,102855755696950156947264447006946496809133236217557658132015774299361510202288627624511717,7,0,,"11,19",OPEN
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,205711511393900313894528894013892993618266472435115316264031548598723020404577255249023434,14,0,,"3,7",OPEN
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,308567267090850470841793341020839490427399708652672974396047322898084530606865882873535151,21,0,,"11,19",OPEN
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,617134534181700941683586682041678980854799417305345948792094645796169061213731765747070302,42,0,,"3,7",OPEN
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,1866097281930381418900369252840315013537131571375688940395143333716987399384379386901855437,1,1,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,"11,19",OPEN
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,3732194563860762837800738505680630027074263142751377880790286667433974798768758773803710874,2,1,,"3,7",OPEN
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,5598291845791144256701107758520945040611394714127066821185430001150962198153138160705566311,3,1,,"11,19",OPEN
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,11196583691582288513402215517041890081222789428254133642370860002301924396306276321411132622,6,1,,"3,7",OPEN
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,13062680973512669932302584769882205094759920999629822582766003336018911795690655708312988059,7,1,,"11,19",OPEN
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,26125361947025339864605169539764410189519841999259645165532006672037823591381311416625976118,14,1,,"3,7",OPEN
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,39188042920538009796907754309646615284279762998889467748298010008056735387071967124938964177,21,1,,"11,19",OPEN
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,78376085841076019593815508619293230568559525997778935496596020016113470774143934249877928354,42,1,,"3,7",OPEN
serial,379,6823,6823,1,0,,"11,19",OPEN
serial,379,6823,13646,2,0,,"3,7",OPEN
serial,379,6823,20469,3,0,,"11,19",OPEN
serial,379,6823,40938,6,0,,"3,7",OPEN
serial,379,6823,47761,7,0,,"11,19",OPEN
serial,379,6823,95522,14,0,,"3,7",OPEN
serial,379,6823,143283,21,0,,"11,19",OPEN
serial,379,6823,286566,42,0,,"3,7",OPEN
serial,379,6823,2585917,1,1,,"11,19",OPEN
serial,379,6823,5171834,2,1,,"3,7",OPEN
serial,379,6823,7757751,3,1,,"11,19",OPEN
serial,379,6823,15515502,6,1,6823,"3,7",OPEN
serial,379,6823,18101419,7,1,,"11,19",OPEN
serial,379,6823,36202838,14,1,,"3,7",OPEN
serial,379,6823,54304257,21,1,,"11,19",OPEN
serial,379,6823,108608514,42,1,,"3,7",OPEN
serial,379,15919,15919,1,0,,"11,19",OPEN
serial,379,15919,31838,2,0,,"3,7",OPEN
serial,379,15919,47757,3,0,,"11,19",OPEN
serial,379,15919,95514,6,0,,"3,7",OPEN
serial,379,15919,111433,7,0,,"11,19",OPEN
serial,379,15919,222866,14,0,,"3,7",OPEN
serial,379,15919,334299,21,0,,"11,19",OPEN
serial,379,15919,668598,42,0,,"3,7",OPEN
serial,379,15919,6033301,1,1,15919,"11,19",OPEN
serial,379,15919,12066602,2,1,,"3,7",OPEN
serial,379,15919,18099903,3,1,,"11,19",OPEN
serial,379,15919,36199806,6,1,,"3,7",OPEN
serial,379,15919,42233107,7,1,,"11,19",OPEN
serial,379,15919,84466214,14,1,,"3,7",OPEN
serial,379,15919,126699321,21,1,,"11,19",OPEN
serial,379,15919,253398642,42,1,,"3,7",OPEN
serial,379,111427,111427,1,0,,"11,19",OPEN
serial,379,111427,222854,2,0,,"3,7",OPEN
serial,379,111427,334281,3,0,,"11,19",OPEN
serial,379,111427,668562,6,0,,"3,7",OPEN
serial,379,111427,779989,7,0,,"11,19",OPEN
serial,379,111427,1559978,14,0,,"3,7",OPEN
serial,379,111427,2339967,21,0,,"11,19",OPEN
serial,379,111427,4679934,42,0,,"3,7",OPEN
serial,379,111427,42230833,1,1,,"11,19",OPEN
