shape,r,s,p,n,lifting_coefficient,square_hit,source
relay,43,0,9547,86,6869,False,
relay,43,0,42743,602,28799,False,
relay,43,0,18471511,129,10935302,False,
relay,43,0,558801427,258,228381906,False,
relay,43,0,7866608083,86,6979768417,False,
relay,43,0,26041733579107,602,21236513736748,False,fixed-SHA Phase D; fresh Pocklington proof
relay,43,0,172827552198815888791,43,6578050564,False,fixed-SHA Phase D; fresh Pocklington proof
relay,43,0,43955934961951833386625799,129,13814757969496504861156109,False,fixed-SHA Phase D; fresh Pocklington proof
relay,43,0,236419892853700126919767791480523,258,174873425047096123598364461127972,False,fixed-SHA Phase D; fresh Pocklington proof
relay,127,0,2287,254,1957,False,
relay,127,0,23623,762,17966,False,
relay,127,0,133351,2667,30698,False,
relay,127,0,4283203,1778,753470,False,
relay,127,0,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,127,4,False,fixed-SHA Phase D; fresh Pocklington proof
relay,379,0,6823,2274,4971,False,
relay,379,0,15919,379,9109,False,
relay,379,0,111427,15918,90535,False,
relay,379,0,7401871,7959,2780067,False,
relay,7603,0,319327,106442,27600,False,
relay,7603,0,1262099,7603,317632,False,
relay,7603,0,1596631,159663,1434954,False,
relay,7603,0,188721667,319326,126997831,False,
relay,7603,0,648003691,22809,317869461,False,
relay,19531,0,11835787,39062,1131360,False,
relay,19531,0,42304147,117186,27063347,False,
relay,19531,0,3326871479,19531,2262705296,False,
relay,519499,0,36364931,3636493,32264000,False,
relay,519499,0,327284371,10909479,27660845,False,
