shape,r,s,p,n,lifting_coefficient,square_hit,aggregate_mod_p2
serial,43,9547,57283,19094,732,False,3038003905
serial,43,9547,93312379,28641,42382463,False,2516514022099195
serial,43,42743,85487,85486,47655,False,1776932782
serial,43,42743,3675899,1837949,896192,False,4159231931813
serial,43,42743,9102976711,128229,6624282192,False,80683165397585605311
serial,43,42743,20610760087,85486,17905133784,False,347577574785333281879
serial,43,42743,22772188111,12865643,22156039483,False,422074163568054584819
serial,43,42743,257053239019,128229,209656849930,False,30196673593972483734137
serial,43,42743,379606310563,11027694,302699465034,False,49006049911074550377488
serial,43,18471511,110829067,110829066,74999981,False,1174593383529281
serial,43,18471511,31807941943,775803462,17849355757,False,678948641499952757615
serial,43,18471511,81016047247,4765649838,47745058038,False,4661953367604891676303
serial,43,18471511,233516842063,33359548866,16139520412,False,43468996321616563861090
serial,43,18471511,855711218587,775803462,583681740789,False,715229074255175415083294
serial,43,558801427,30175277059,558801427,29481874049,False,666949783411628630106
serial,43,558801427,320752019099,3911609989,67436577243,False,10543612055126440565103
serial,43,7866608083,550662565811,55066256581,390255323467,False,258706649546549738977598
serial,127,2287,13723,13722,6911,False,9345363
serial,127,2287,672379,48027,481119,False,9758236427
serial,127,2287,12198859,290449,11454267,False,105624186617270
serial,127,2287,15519583,13722,9791391,False,17017548670743
serial,127,2287,215128943,32018,75824172,False,45229419977476615
serial,127,2287,413018479,290449,338771808,False,10306825342172083
serial,127,23623,18000727,18000726,16254321,False,143645027428739
serial,127,23623,126005083,126005082,62518298,False,2260983169252721
serial,127,23623,13986564103,6000242,11968884500,False,192967998467403573763
serial,127,133351,5600743,5600742,3500676,False,14660964137726
serial,127,133351,2188289911,400053,2183602955,False,4243074639765892990
serial,127,133351,32482436687,237098078,25070519363,False,970211369803151541353
serial,127,133351,34823546843,1866914,505165538,False,517214206867924193080
serial,127,133351,663637520323,711294234,633212960447,False,250342438363027899595670
serial,127,4283203,16319003431,1631900343,1949204619,False,192037195504986068755
serial,379,6823,40939,6823,40195,False,505064443
serial,379,6823,170670523,15515502,112503018,False,15254193588774983
serial,379,6823,103421164499,2585917,31206465976,False,5995401773373859223754
serial,379,15919,286543,95514,82584,False,54635726896
serial,379,15919,668599,334299,294966,False,248331709179
serial,379,15919,1496387,31838,277151,False,564199250867
serial,379,15919,30532643,222866,7209491,False,262462599004233
serial,379,15919,353688343,95514,81457903,False,9903620218576140
serial,379,15919,247715272459,6033301,140865652860,False,45742981198661753601779
serial,379,15919,989612435311,47757,380954097907,False,538274364741483956908446
serial,379,111427,422308331,42230833,228680897,False,77598234766780089
serial,379,7401871,310878583,103626194,41611071,False,82985465736931330
serial,379,7401871,24559407979,51813097,20200042090,False,484417097620429520371
serial,379,7401871,33885765439,155439291,18908244031,False,1086806745994452873968
serial,7603,319327,9579811,957981,6105836,False,16754332633931
serial,7603,319327,469410691,6705867,418405380,False,20279377871640671
serial,7603,319327,1753105231,957981,1602637850,False,1149238642870329366
serial,7603,319327,3785302259,319327,2568552545,False,12142552583461005150
serial,7603,1262099,2524199,1262099,2092095,False,3128653789336
serial,7603,1262099,5671872907,53008158,3133283293,False,3202829555501966777
serial,7603,1596631,3196455263,22352834,3025968105,False,8649233413014834290
serial,7603,1596631,123767641859,11176417,67999246437,False,2837682399802443042008
serial,19531,11835787,781161943,71014722,326201959,False,194841078597220442
serial,19531,11835787,3621750823,23671574,3287213462,False,1030763746273609091
serial,19531,42304147,264739351927,592258058,218287025199,False,48621349009074292614058
serial,19531,3326871479,6653742959,3326871479,5536498625,False,10714145112804326126
serial,19531,3326871479,46576200707,6653742958,42202270328,False,322845416314782161890
serial,19531,3326871479,59883686623,19961228874,14495348003,False,2226082145463241427863
serial,19531,3326871479,139728602119,69864301059,36700971241,False,12907286314529377345124
serial,519499,36364931,12291346679,36364931,11446467203,False,47361219363671829698
