shape,r,s,terminal_index_count,aggregate_digits,M,expression,closure_status,imprimitive_factor,order_s
fork,43,127,8,155356,229362,((5^229362-1)*(5^42-1))/((5^1806-1)*(5^5334-1)),OPEN,1,
fork,43,379,8,466068,684474,((5^684474-1)*(5^42-1))/((5^1806-1)*(5^15918-1)),OPEN,1,
fork,43,7603,8,9373138,13731018,((5^13731018-1)*(5^42-1))/((5^1806-1)*(5^319326-1)),OPEN,1,
fork,43,19531,8,24080160,35272986,((5^35272986-1)*(5^42-1))/((5^1806-1)*(5^820302-1)),OPEN,1,
fork,43,519499,8,640532249,938215194,((5^938215194-1)*(5^42-1))/((5^1806-1)*(5^21818958-1)),OPEN,1,
fork,127,379,8,1398203,2021586,((5^2021586-1)*(5^42-1))/((5^5334-1)*(5^15918-1)),OPEN,1,
fork,127,7603,8,28119413,40554402,((5^40554402-1)*(5^42-1))/((5^5334-1)*(5^319326-1)),OPEN,1,
fork,127,19531,8,72240480,104178354,((5^104178354-1)*(5^42-1))/((5^5334-1)*(5^820302-1)),OPEN,1,
fork,127,519499,8,1921596745,2771007666,((5^2771007666-1)*(5^42-1))/((5^5334-1)*(5^21818958-1)),OPEN,1,
fork,379,7603,8,84358237,121024554,((5^121024554-1)*(5^42-1))/((5^15918-1)*(5^319326-1)),OPEN,1,
fork,379,19531,8,216721438,310894458,((5^310894458-1)*(5^42-1))/((5^15918-1)*(5^820302-1)),OPEN,1,
fork,379,519499,8,5764790233,8269385082,((5^8269385082-1)*(5^42-1))/((5^15918-1)*(5^21818958-1)),OPEN,1,
fork,7603,19531,8,4358508907,6236756106,((5^6236756106-1)*(5^42-1))/((5^319326-1)*(5^820302-1)),OPEN,1,
fork,7603,519499,8,115936336901,165889537674,((5^165889537674-1)*(5^42-1))/((5^319326-1)*(5^21818958-1)),OPEN,1,
fork,19531,519499,8,297847495352,426146068698,((5^426146068698-1)*(5^42-1))/((5^820302-1)*(5^21818958-1)),OPEN,1,
serial,43,9547,16,12050293,17241882,(5^17241882-1)/(9547*(5^1806-1)),OPEN,9547,86
serial,43,42743,16,53954925,77193858,(5^77193858-1)/(42743*(5^1806-1)),OPEN,42743,602
serial,43,18471511,16,23317322746,33359548866,(5^33359548866-1)/(18471511*(5^1806-1)),OPEN,18471511,129
serial,43,558801427,16,705397295880,1009195377162,(5^1009195377162-1)/(558801427*(5^1806-1)),OPEN,558801427,258
serial,43,7866608083,16,9930332691835,14207094197898,(5^14207094197898-1)/(7866608083*(5^1806-1)),OPEN,7866608083,86
serial,43,26041733579107,16,32873517482665519,47031370843867242,(5^47031370843867242-1)/(26041733579107*(5^1806-1)),OPEN,26041733579107,602
serial,43,172827552198815888791,16,218167102487080483740845,312126559271061495156546,(5^312126559271061495156546-1)/(172827552198815888791*(5^1806-1)),OPEN,172827552198815888791,43
serial,43,43955934961951833386625799,16,55487327372014315807978139330,79384418541285011096246192994,(5^79384418541285011096246192994-1)/(43955934961951833386625799*(5^1806-1)),OPEN,43955934961951833386625799,129
serial,43,236419892853700126919767791480523,16,298442246840727813387866136382733532,426974326493782429217100631413824538,(5^426974326493782429217100631413824538-1)/(236419892853700126919767791480523*(5^1806-1)),OPEN,236419892853700126919767791480523,258
serial,127,2287,16,8522905,12198858,(5^12198858-1)/(2287*(5^5334-1)),OPEN,2287,254
serial,127,23623,16,88070041,126005082,(5^126005082-1)/(23623*(5^5334-1)),OPEN,23623,762
serial,127,133351,16,497169601,711294234,(5^711294234-1)/(133351*(5^5334-1)),OPEN,133351,2667
serial,127,4283203,16,15969087723,22846604802,(5^22846604802-1)/(4283203*(5^5334-1)),OPEN,4283203,1778
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,16,54782533060177087467937070492456320589251992765528367038212543273403922334259236608793901133,78376085841076019593815508619293230568559525997778935496596020016113470774143934249877928354,(5^78376085841076019593815508619293230568559525997778935496596020016113470774143934249877928354-1)/(14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531*(5^5334-1)),OPEN,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,127
serial,379,6823,16,75902964,108608514,(5^108608514-1)/(6823*(5^15918-1)),OPEN,6823,2274
serial,379,15919,16,177106920,253398642,(5^253398642-1)/(15919*(5^15918-1)),OPEN,15919,379
serial,379,111427,16,1239748461,1773694986,(5^1773694986-1)/(111427*(5^15918-1)),OPEN,111427,15918
serial,379,7401871,16,82354719511,117822982578,(5^117822982578-1)/(7401871*(5^15918-1)),OPEN,7401871,7959
serial,7603,319327,16,71273338263,101969413602,(5^101969413602-1)/(319327*(5^319326-1)),OPEN,319327,106442
serial,7603,1262099,16,281699384578,403021025274,(5^403021025274-1)/(1262099*(5^319326-1)),OPEN,1262099,7603
serial,7603,1596631,16,356366691335,509845790706,(5^509845790706-1)/(1596631*(5^319326-1)),OPEN,1596631,159663
