interval_id,T,count,probability_exact,probability_decimal
PILOT-A,1,4,4/200000,0.000020000000000
PILOT-A,2,8,8/200000,0.000040000000000
PILOT-A,3,44,44/200000,0.000220000000000
PILOT-A,4,110,110/200000,0.000550000000000
PILOT-A,5,331,331/200000,0.001655000000000
PILOT-A,6,700,700/200000,0.003500000000000
PILOT-A,7,1381,1381/200000,0.006905000000000
PILOT-A,8,2471,2471/200000,0.012355000000000
PILOT-A,9,3748,3748/200000,0.018740000000000
PILOT-A,10,5332,5332/200000,0.026660000000000
PILOT-A,11,7210,7210/200000,0.036050000000000
PILOT-A,12,9203,9203/200000,0.046015000000000
PILOT-A,13,11047,11047/200000,0.055235000000000
PILOT-A,14,11903,11903/200000,0.059515000000000
PILOT-A,15,12539,12539/200000,0.062695000000000
PILOT-A,16,12453,12453/200000,0.062265000000000
PILOT-A,17,12168,12168/200000,0.060840000000000
PILOT-A,18,11599,11599/200000,0.057995000000000
PILOT-A,19,11346,11346/200000,0.056730000000000
PILOT-A,20,11261,11261/200000,0.056305000000000
PILOT-A,21,10731,10731/200000,0.053655000000000
PILOT-A,22,10227,10227/200000,0.051135000000000
PILOT-A,23,9927,9927/200000,0.049635000000000
PILOT-A,24,9002,9002/200000,0.045010000000000
PILOT-A,25,8235,8235/200000,0.041175000000000
PILOT-A,26,7104,7104/200000,0.035520000000000
PILOT-A,27,5873,5873/200000,0.029365000000000
PILOT-A,28,4696,4696/200000,0.023480000000000
PILOT-A,29,3455,3455/200000,0.017275000000000
PILOT-A,30,2420,2420/200000,0.012100000000000
PILOT-A,31,1528,1528/200000,0.007640000000000
PILOT-A,32,925,925/200000,0.004625000000000
PILOT-A,33,535,535/200000,0.002675000000000
PILOT-A,34,276,276/200000,0.001380000000000
PILOT-A,35,113,113/200000,0.000565000000000
PILOT-A,36,59,59/200000,0.000295000000000
PILOT-A,37,26,26/200000,0.000130000000000
PILOT-A,38,5,5/200000,0.000025000000000
PILOT-A,39,4,4/200000,0.000020000000000
PILOT-A,41,1,1/200000,0.000005000000000
PILOT-B,16,1,1/100000,0.000010000000000
PILOT-B,18,3,3/100000,0.000030000000000
PILOT-B,19,5,5/100000,0.000050000000000
PILOT-B,20,6,6/100000,0.000060000000000
