k,target_T,control_h_-720_T,control_h_-360_T,control_h_360_T,control_h_720_T,control_median,control_minimum,control_maximum,target_minus_control_median,target_rank_among_five,target_unique_minimum,target_tied_minimum,target_below_all_four_controls,target_below_at_least_three_controls
-128,30,30,35,34,25,32,25,35,-2,2,0,0,0,0
-127,59,51,56,46,46,48.5,46,56,10.5,5,0,0,0,0
-126,65,62,71,76,57,66.5,57,76,-1.5,3,0,0,0,0
-125,52,42,55,43,46,44.5,42,55,7.5,4,0,0,0,0
-124,59,61,71,77,75,73,61,77,-14,1,1,0,1,1
-123,42,62,46,58,41,52,41,62,-10,2,0,0,0,1
-122,38,29,40,31,32,31.5,29,40,6.5,4,0,0,0,0
-121,44,38,59,44,48,46,38,59,-2,2,0,0,0,0
-120,30,41,34,33,34,34,33,41,-4,1,1,0,1,1
-119,39,49,46,65,44,47.5,44,65,-8.5,1,1,0,1,1
-118,63,66,65,63,53,64,53,66,-1,2,0,0,0,0
-117,43,44,57,49,53,51,44,57,-8,1,1,0,1,1
-116,64,60,71,76,70,70.5,60,76,-6.5,2,0,0,0,1
-115,41,53,64,55,47,54,47,64,-13,1,1,0,1,1
-114,32,30,36,44,41,38.5,30,44,-6.5,2,0,0,0,1
-113,56,33,64,54,47,50.5,33,64,5.5,4,0,0,0,0
-112,32,39,46,30,26,34.5,26,46,-2.5,3,0,0,0,0
-111,46,57,46,54,48,51,46,57,-5,1,0,1,0,1
-110,66,78,75,74,57,74.5,57,78,-8.5,2,0,0,0,1
-109,52,41,61,50,63,55.5,41,63,-3.5,3,0,0,0,0
-108,60,69,73,68,61,68.5,61,73,-8.5,1,1,0,1,1
-107,42,50,56,55,49,52.5,49,56,-10.5,1,1,0,1,1
-106,33,25,37,44,27,32,25,44,1,3,0,0,0,0
-105,46,42,46,52,52,49,42,52,-3,2,0,0,0,0
-104,38,28,35,37,31,33,28,37,5,5,0,0,0,0
-103,50,62,49,56,49,52.5,49,62,-2.5,3,0,0,0,0
-102,62,67,65,74,69,68,65,74,-6,1,1,0,1,1
-101,51,34,56,55,51,53,34,56,-2,2,0,0,0,0
-100,74,60,78,63,61,62,60,78,12,4,0,0,0,0
-99,42,63,53,48,41,50.5,41,63,-8.5,2,0,0,0,1
-98,39,35,32,34,38,34.5,32,38,4.5,5,0,0,0,0
-97,45,40,65,52,56,54,40,65,-9,2,0,0,0,1
-96,22,48,30,42,27,36,27,48,-14,1,1,0,1,1
-95,50,44,55,47,49,48,44,55,2,4,0,0,0,0
-94,55,67,62,68,69,67.5,62,69,-12.5,1,1,0,1,1
