h,k,n,backend_a_T,backend_b_T,active_pairs,pointwise_equal
-720,-128,236386824842,30,30,407,1
-720,-127,236415052811,51,51,407,1
-720,-126,236443280780,62,62,407,1
-720,-125,236471508749,42,42,407,1
-720,-124,236499736718,61,61,407,1
-720,-123,236527964687,62,62,407,1
-720,-122,236556192656,29,29,407,1
-720,-121,236584420625,38,38,407,1
-720,-120,236612648594,41,41,407,1
-720,-119,236640876563,49,49,407,1
-720,-118,236669104532,66,66,407,1
-720,-117,236697332501,44,44,407,1
-720,-116,236725560470,60,60,407,1
-720,-115,236753788439,53,53,407,1
-720,-114,236782016408,30,30,407,1
-720,-113,236810244377,33,33,407,1
-720,-112,236838472346,39,39,407,1
-720,-111,236866700315,57,57,407,1
-720,-110,236894928284,78,78,407,1
-720,-109,236923156253,41,41,407,1
-720,-108,236951384222,69,69,407,1
-720,-107,236979612191,50,50,407,1
-720,-106,237007840160,25,25,407,1
-720,-105,237036068129,42,42,407,1
-720,-104,237064296098,28,28,407,1
-720,-103,237092524067,62,62,407,1
-720,-102,237120752036,67,67,407,1
-720,-101,237148980005,34,34,407,1
-720,-100,237177207974,60,60,407,1
-720,-99,237205435943,63,63,407,1
-720,-98,237233663912,35,35,407,1
-720,-97,237261891881,40,40,407,1
-720,-96,237290119850,48,48,407,1
-720,-95,237318347819,44,44,407,1
-720,-94,237346575788,67,67,407,1
-720,-93,237374803757,50,50,407,1
-720,-92,237403031726,58,58,407,1
-720,-91,237431259695,54,54,407,1
-720,-90,237459487664,32,32,407,1
-720,-89,237487715633,44,44,407,1
-720,-88,237515943602,31,31,407,1
-720,-87,237544171571,46,46,407,1
-720,-86,237572399540,60,60,407,1
-720,-85,237600627509,33,33,407,1
-720,-84,237628855478,68,68,407,1
-720,-83,237657083447,53,53,407,1
-720,-82,237685311416,24,24,407,1
-720,-81,237713539385,46,46,407,1
-720,-80,237741767354,43,43,407,1
-720,-79,237769995323,53,53,407,1
-720,-78,237798223292,67,67,407,1
-720,-77,237826451261,45,45,407,1
-720,-76,237854679230,58,58,407,1
-720,-75,237882907199,54,54,407,1
-720,-74,237911135168,27,27,407,1
-720,-73,237939363137,41,41,407,1
-720,-72,237967591106,34,34,407,1
-720,-71,237995819075,54,54,407,1
-720,-70,238024047044,61,61,407,1
-720,-69,238052275013,42,42,407,1
-720,-68,238080502982,60,60,407,1
-720,-67,238108730951,55,55,407,1
-720,-66,238136958920,33,33,407,1
-720,-65,238165186889,37,37,407,1
-720,-64,238193414858,37,37,407,1
-720,-63,238221642827,53,53,407,1
-720,-62,238249870796,69,69,407,1
-720,-61,238278098765,39,39,407,1
-720,-60,238306326734,68,68,407,1
-720,-59,238334554703,51,51,407,1
-720,-58,238362782672,32,32,407,1
-720,-57,238391010641,46,46,407,1
-720,-56,238419238610,26,26,407,1
-720,-55,238447466579,48,48,407,1
-720,-54,238475694548,64,64,407,1
-720,-53,238503922517,44,44,407,1
-720,-52,238532150486,66,66,407,1
-720,-51,238560378455,60,60,407,1
-720,-50,238588606424,26,26,407,1
-720,-49,238616834393,55,55,407,1
-720,-48,238645062362,26,26,407,1
-720,-47,238673290331,49,49,407,1
-720,-46,238701518300,57,57,407,1
-720,-45,238729746269,46,46,407,1
-720,-44,238757974238,62,62,407,1
-720,-43,238786202207,44,44,407,1
-720,-42,238814430176,33,33,407,1
-720,-41,238842658145,38,38,407,1
-720,-40,238870886114,37,37,407,1
-720,-39,238899114083,45,45,407,1
-720,-38,238927342052,70,70,407,1
-720,-37,238955570021,43,43,407,1
-720,-36,238983797990,59,59,407,1
-720,-35,239012025959,51,51,407,1
-720,-34,239040253928,19,19,407,1
-720,-33,239068481897,46,46,407,1
