h,pair_index,c,d,shift,survival_count,survival_frequency_numerator,survival_frequency_denominator,survival_frequency_decimal,first_winning_k,last_winning_k,longest_consecutive_winning_run,never_wins,wins_every_k,leave_anchor_out_survival_count,leave_anchor_out_frequency_numerator,leave_anchor_out_frequency_denominator,leave_anchor_out_frequency_decimal
-720,0,0,0,2,47,47,257,0.182879377431906614785992217899,-128,128,2,0,0,,,,
-720,1,0,1,6,60,60,257,0.233463035019455252918287937743,-128,126,3,0,0,,,,
-720,5,0,5,3126,64,64,257,0.249027237354085603112840466926,-128,128,3,0,0,,,,
-720,6,0,6,15626,50,50,257,0.194552529182879377431906614786,-127,128,2,0,0,,,,
-720,7,0,7,78126,67,67,257,0.260700389105058365758754863813,-127,126,3,0,0,,,,
-720,11,0,11,48828126,71,71,257,0.276264591439688715953307392996,-127,124,3,0,0,,,,
-720,12,0,12,244140626,52,52,257,0.202334630350194552529182879377,-119,122,3,0,0,,,,
-720,13,0,13,1220703126,71,71,257,0.276264591439688715953307392996,-128,126,3,0,0,,,,
-720,17,1,0,4,70,70,257,0.272373540856031128404669260700,-124,124,3,0,0,,,,
-720,20,1,3,128,56,56,257,0.217898832684824902723735408560,-125,128,2,0,0,,,,
-720,21,1,4,628,59,59,257,0.229571984435797665369649805447,-125,126,2,0,0,,,,
-720,23,1,6,15628,70,70,257,0.272373540856031128404669260700,-126,124,3,0,0,,,,
-720,27,1,10,9765628,62,62,257,0.241245136186770428015564202335,-126,124,3,0,0,,,,
-720,29,1,12,244140628,62,62,257,0.241245136186770428015564202335,-121,127,3,0,0,,,,
-720,32,1,15,30517578128,47,47,257,0.182879377431906614785992217899,-128,128,3,0,0,,,,
-720,33,1,16,152587890628,68,68,257,0.264591439688715953307392996109,-125,127,3,0,0,,,,
-720,34,2,0,10,72,72,257,0.280155642023346303501945525292,-128,125,3,0,0,,,,
-720,36,2,2,34,67,67,257,0.260700389105058365758754863813,-127,125,3,0,0,,,,
-720,38,2,4,634,62,62,257,0.241245136186770428015564202335,-126,128,3,0,0,,,,
-720,39,2,5,3134,45,45,257,0.175097276264591439688715953307,-123,126,2,0,0,,,,
-720,42,2,8,390634,60,60,257,0.233463035019455252918287937743,-128,128,3,0,0,,,,
-720,44,2,10,9765634,63,63,257,0.245136186770428015564202334630,-127,125,3,0,0,,,,
-720,46,2,12,244140634,60,60,257,0.233463035019455252918287937743,-126,122,3,0,0,,,,
-720,48,2,14,6103515634,66,66,257,0.256809338521400778210116731518,-127,125,2,0,0,,,,
-720,53,3,2,52,70,70,257,0.272373540856031128404669260700,-125,122,3,0,0,,,,
-720,56,3,5,3152,55,55,257,0.214007782101167315175097276265,-122,123,3,0,0,,,,
-720,59,3,8,390652,69,69,257,0.268482490272373540856031128405,-125,127,3,0,0,,,,
-720,61,3,10,9765652,71,71,257,0.276264591439688715953307392996,-125,123,3,0,0,,,,
-720,62,3,11,48828152,49,49,257,0.190661478599221789883268482490,-126,127,2,0,0,,,,
-720,67,3,16,152587890652,67,67,257,0.260700389105058365758754863813,-125,124,3,0,0,,,,
-720,68,4,0,82,64,64,257,0.249027237354085603112840466926,-123,125,2,0,0,,,,
-720,72,4,4,706,62,62,257,0.241245136186770428015564202335,-123,128,3,0,0,,,,
-720,74,4,6,15706,62,62,257,0.241245136186770428015564202335,-126,125,3,0,0,,,,
-720,76,4,8,390706,72,72,257,0.280155642023346303501945525292,-126,125,3,0,0,,,,
-720,78,4,10,9765706,68,68,257,0.264591439688715953307392996109,-127,128,3,0,0,,,,
-720,80,4,12,244140706,78,78,257,0.303501945525291828793774319066,-127,128,3,0,0,,,,
-720,82,4,14,6103515706,71,71,257,0.276264591439688715953307392996,-127,128,3,0,0,,,,
-720,84,4,16,152587890706,71,71,257,0.276264591439688715953307392996,-123,125,2,0,0,,,,
-720,87,5,2,268,71,71,257,0.276264591439688715953307392996,-125,127,3,0,0,,,,
-720,90,5,5,3368,50,50,257,0.194552529182879377431906614786,-121,128,3,0,0,,,,
-720,91,5,6,15868,76,76,257,0.295719844357976653696498054475,-126,127,3,0,0,,,,
-720,93,5,8,390868,71,71,257,0.276264591439688715953307392996,-125,127,3,0,0,,,,
-720,96,5,11,48828368,56,56,257,0.217898832684824902723735408560,-125,127,3,0,0,,,,
-720,97,5,12,244140868,63,63,257,0.245136186770428015564202334630,-125,127,3,0,0,,,,
-720,99,5,14,6103515868,60,60,257,0.233463035019455252918287937743,-125,127,3,0,0,,,,
-720,101,5,16,152587890868,68,68,257,0.264591439688715953307392996109,-125,127,3,0,0,,,,
-720,102,6,0,730,72,72,257,0.280155642023346303501945525292,-126,122,3,0,0,,,,
-720,104,6,2,754,59,59,257,0.229571984435797665369649805447,-127,122,3,0,0,,,,
-720,106,6,4,1354,68,68,257,0.264591439688715953307392996109,-127,121,3,0,0,,,,
-720,107,6,5,3854,47,47,257,0.182879377431906614785992217899,-123,125,3,0,0,,,,
-720,108,6,6,16354,69,69,257,0.268482490272373540856031128405,-127,128,3,0,0,,,,
-720,110,6,8,391354,64,64,257,0.249027237354085603112840466926,-127,128,3,0,0,,,,
-720,112,6,10,9766354,63,63,257,0.245136186770428015564202334630,-119,125,3,0,0,,,,
