pair_index,c,d,shift,target_survival_count,target_survival_frequency,h_-720_persistent_covered,h_-720_survival_count,h_-720_survival_frequency,h_-360_persistent_covered,h_-360_survival_count,h_-360_survival_frequency,h_0_persistent_covered,h_0_survival_count,h_0_survival_frequency,h_360_persistent_covered,h_360_survival_count,h_360_survival_frequency,h_720_persistent_covered,h_720_survival_count,h_720_survival_frequency,mean_control_frequency_numerator,mean_control_frequency_denominator,mean_control_frequency_decimal,target_minus_mean_control_frequency_numerator,target_minus_mean_control_frequency_denominator,target_minus_mean_control_frequency_decimal,rank_target_survival_frequency,rank_target_excess_above_control_mean,rank_target_deficit_below_control_mean
0,0,0,2,50,0.194552529182879377431906614786,0,47,0.182879377431906614785992217899,0,54,0.210116731517509727626459143969,0,50,0.194552529182879377431906614786,1,0,0,1,0,0,101,1028,0.0982490272373540856031128404669,99,1028,0.0963035019455252918287937743191,173,36,372
1,0,1,6,0,0,0,60,0.233463035019455252918287937743,1,0,0,1,0,0,0,69,0.268482490272373540856031128405,0,64,0.249027237354085603112840466926,193,1028,0.187743190661478599221789883268,-193,1028,-0.187743190661478599221789883268,192,358,48
2,0,2,26,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,193,161,105
3,0,3,126,63,0.245136186770428015564202334630,1,0,0,0,56,0.217898832684824902723735408560,0,63,0.245136186770428015564202334630,1,0,0,0,73,0.284046692607003891050583657588,129,1028,0.125486381322957198443579766537,123,1028,0.119649805447470817120622568093,99,24,384
4,0,4,626,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,194,162,106
5,0,5,3126,0,0,0,64,0.249027237354085603112840466926,0,70,0.272373540856031128404669260700,1,0,0,0,57,0.221789883268482490272373540856,1,0,0,191,1028,0.185797665369649805447470817121,-191,1028,-0.185797665369649805447470817121,195,355,52
6,0,6,15626,56,0.217898832684824902723735408560,0,50,0.194552529182879377431906614786,0,51,0.198443579766536964980544747082,0,56,0.217898832684824902723735408560,1,0,0,0,56,0.217898832684824902723735408560,157,1028,0.152723735408560311284046692607,67,1028,0.0651750972762645914396887159533,156,87,320
7,0,7,78126,0,0,0,67,0.260700389105058365758754863813,0,66,0.256809338521400778210116731518,1,0,0,0,67,0.260700389105058365758754863813,0,61,0.237354085603112840466926070039,261,1028,0.253891050583657587548638132296,-261,1028,-0.253891050583657587548638132296,196,390,18
8,0,8,390626,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,197,163,107
9,0,9,1953126,63,0.245136186770428015564202334630,1,0,0,0,64,0.249027237354085603112840466926,0,63,0.245136186770428015564202334630,0,67,0.260700389105058365758754863813,0,71,0.276264591439688715953307392996,202,1028,0.196498054474708171206225680934,25,514,0.0486381322957198443579766536965,100,111,297
