pair_index,c,d,shift,duplicate_shift_group
0,0,0,2,
1,0,1,6,
2,0,2,26,
3,0,3,126,
4,0,4,626,
5,0,5,3126,
6,0,6,15626,
7,0,7,78126,
8,0,8,390626,
9,0,9,1953126,
10,0,10,9765626,
11,0,11,48828126,
12,0,12,244140626,
13,0,13,1220703126,
14,0,14,6103515626,
15,0,15,30517578126,
16,0,16,152587890626,
17,1,0,4,
18,1,1,8,
19,1,2,28,shift_28
20,1,3,128,
21,1,4,628,
22,1,5,3128,
23,1,6,15628,
24,1,7,78128,
25,1,8,390628,
26,1,9,1953128,
27,1,10,9765628,
28,1,11,48828128,
29,1,12,244140628,
30,1,13,1220703128,
31,1,14,6103515628,
32,1,15,30517578128,
33,1,16,152587890628,
34,2,0,10,
35,2,1,14,
36,2,2,34,
37,2,3,134,
38,2,4,634,
39,2,5,3134,
40,2,6,15634,
41,2,7,78134,
42,2,8,390634,
43,2,9,1953134,
44,2,10,9765634,
45,2,11,48828134,
46,2,12,244140634,
47,2,13,1220703134,
48,2,14,6103515634,
49,2,15,30517578134,
50,2,16,152587890634,
51,3,0,28,shift_28
52,3,1,32,
53,3,2,52,
54,3,3,152,
55,3,4,652,
56,3,5,3152,
57,3,6,15652,
58,3,7,78152,
59,3,8,390652,
60,3,9,1953152,
61,3,10,9765652,
62,3,11,48828152,
63,3,12,244140652,
64,3,13,1220703152,
65,3,14,6103515652,
66,3,15,30517578152,
67,3,16,152587890652,
68,4,0,82,
69,4,1,86,
70,4,2,106,
71,4,3,206,
72,4,4,706,
73,4,5,3206,
74,4,6,15706,
75,4,7,78206,
76,4,8,390706,
77,4,9,1953206,
78,4,10,9765706,
79,4,11,48828206,
80,4,12,244140706,
81,4,13,1220703206,
82,4,14,6103515706,
83,4,15,30517578206,
84,4,16,152587890706,
85,5,0,244,
86,5,1,248,
87,5,2,268,
88,5,3,368,
89,5,4,868,
90,5,5,3368,
91,5,6,15868,
92,5,7,78368,
93,5,8,390868,
94,5,9,1953368,
95,5,10,9765868,
96,5,11,48828368,
97,5,12,244140868,
98,5,13,1220703368,
99,5,14,6103515868,
100,5,15,30517578368,
101,5,16,152587890868,
102,6,0,730,
103,6,1,734,
104,6,2,754,
105,6,3,854,
106,6,4,1354,
107,6,5,3854,
108,6,6,16354,
109,6,7,78854,
110,6,8,391354,
111,6,9,1953854,
112,6,10,9766354,
113,6,11,48828854,
114,6,12,244141354,
115,6,13,1220703854,
116,6,14,6103516354,
117,6,15,30517578854,
118,6,16,152587891354,
119,7,0,2188,
120,7,1,2192,
121,7,2,2212,
122,7,3,2312,
123,7,4,2812,
124,7,5,5312,
125,7,6,17812,
126,7,7,80312,
127,7,8,392812,
128,7,9,1955312,
129,7,10,9767812,
130,7,11,48830312,
131,7,12,244142812,
132,7,13,1220705312,
133,7,14,6103517812,
134,7,15,30517580312,
135,7,16,152587892812,
136,8,0,6562,
137,8,1,6566,
138,8,2,6586,
139,8,3,6686,
140,8,4,7186,
141,8,5,9686,
142,8,6,22186,
143,8,7,84686,
144,8,8,397186,
145,8,9,1959686,
146,8,10,9772186,
147,8,11,48834686,
148,8,12,244147186,
149,8,13,1220709686,
150,8,14,6103522186,
151,8,15,30517584686,
152,8,16,152587897186,
153,9,0,19684,
154,9,1,19688,
155,9,2,19708,
156,9,3,19808,
157,9,4,20308,
158,9,5,22808,
159,9,6,35308,
160,9,7,97808,
161,9,8,410308,
162,9,9,1972808,
163,9,10,9785308,
164,9,11,48847808,
165,9,12,244160308,
166,9,13,1220722808,
167,9,14,6103535308,
168,9,15,30517597808,
169,9,16,152587910308,
170,10,0,59050,
171,10,1,59054,
172,10,2,59074,
173,10,3,59174,
174,10,4,59674,
175,10,5,62174,
176,10,6,74674,
177,10,7,137174,
178,10,8,449674,
179,10,9,2012174,
180,10,10,9824674,
181,10,11,48887174,
182,10,12,244199674,
183,10,13,1220762174,
184,10,14,6103574674,
185,10,15,30517637174,
186,10,16,152587949674,
187,11,0,177148,
188,11,1,177152,
189,11,2,177172,
190,11,3,177272,
191,11,4,177772,
192,11,5,180272,
193,11,6,192772,
194,11,7,255272,
195,11,8,567772,
196,11,9,2130272,
197,11,10,9942772,
198,11,11,49005272,
199,11,12,244317772,
200,11,13,1220880272,
201,11,14,6103692772,
202,11,15,30517755272,
203,11,16,152588067772,
204,12,0,531442,
205,12,1,531446,
206,12,2,531466,
207,12,3,531566,
208,12,4,532066,
209,12,5,534566,
210,12,6,547066,
211,12,7,609566,
212,12,8,922066,
213,12,9,2484566,
214,12,10,10297066,
215,12,11,49359566,
216,12,12,244672066,
217,12,13,1221234566,
218,12,14,6104047066,
219,12,15,30518109566,
220,12,16,152588422066,
221,13,0,1594324,
222,13,1,1594328,
223,13,2,1594348,
224,13,3,1594448,
225,13,4,1594948,
226,13,5,1597448,
227,13,6,1609948,
228,13,7,1672448,
229,13,8,1984948,
230,13,9,3547448,
231,13,10,11359948,
232,13,11,50422448,
233,13,12,245734948,
234,13,13,1222297448,
235,13,14,6105109948,
236,13,15,30519172448,
237,13,16,152589484948,
238,14,0,4782970,
239,14,1,4782974,
240,14,2,4782994,
241,14,3,4783094,
242,14,4,4783594,
243,14,5,4786094,
244,14,6,4798594,
245,14,7,4861094,
246,14,8,5173594,
247,14,9,6736094,
248,14,10,14548594,
249,14,11,53611094,
250,14,12,248923594,
251,14,13,1225486094,
252,14,14,6108298594,
253,14,15,30522361094,
254,14,16,152592673594,
255,15,0,14348908,
256,15,1,14348912,
257,15,2,14348932,
258,15,3,14349032,
259,15,4,14349532,
260,15,5,14352032,
261,15,6,14364532,
262,15,7,14427032,
263,15,8,14739532,
264,15,9,16302032,
265,15,10,24114532,
266,15,11,63177032,
267,15,12,258489532,
268,15,13,1235052032,
269,15,14,6117864532,
270,15,15,30531927032,
271,15,16,152602239532,
272,16,0,43046722,
273,16,1,43046726,
274,16,2,43046746,
275,16,3,43046846,
276,16,4,43047346,
277,16,5,43049846,
278,16,6,43062346,
279,16,7,43124846,
280,16,8,43437346,
281,16,9,44999846,
282,16,10,52812346,
283,16,11,91874846,
284,16,12,287187346,
285,16,13,1263749846,
286,16,14,6146562346,
287,16,15,30560624846,
288,16,16,152630937346,
