interval_id,T,count_at_T,cumulative_count,cumulative_fraction_exact,cumulative_fraction_decimal
PILOT-A,1,4,4,4/200000,0.000020000000000
PILOT-A,2,8,12,12/200000,0.000060000000000
PILOT-A,3,44,56,56/200000,0.000280000000000
PILOT-A,4,110,166,166/200000,0.000830000000000
PILOT-A,5,331,497,497/200000,0.002485000000000
PILOT-A,6,700,1197,1197/200000,0.005985000000000
PILOT-A,7,1381,2578,2578/200000,0.012890000000000
PILOT-A,8,2471,5049,5049/200000,0.025245000000000
PILOT-A,9,3748,8797,8797/200000,0.043985000000000
PILOT-A,10,5332,14129,14129/200000,0.070645000000000
PILOT-A,11,7210,21339,21339/200000,0.106695000000000
PILOT-A,12,9203,30542,30542/200000,0.152710000000000
PILOT-A,13,11047,41589,41589/200000,0.207945000000000
PILOT-A,14,11903,53492,53492/200000,0.267460000000000
PILOT-A,15,12539,66031,66031/200000,0.330155000000000
PILOT-A,16,12453,78484,78484/200000,0.392420000000000
PILOT-A,17,12168,90652,90652/200000,0.453260000000000
PILOT-A,18,11599,102251,102251/200000,0.511255000000000
PILOT-A,19,11346,113597,113597/200000,0.567985000000000
PILOT-A,20,11261,124858,124858/200000,0.624290000000000
PILOT-A,21,10731,135589,135589/200000,0.677945000000000
PILOT-A,22,10227,145816,145816/200000,0.729080000000000
PILOT-A,23,9927,155743,155743/200000,0.778715000000000
PILOT-A,24,9002,164745,164745/200000,0.823725000000000
PILOT-A,25,8235,172980,172980/200000,0.864900000000000
PILOT-A,26,7104,180084,180084/200000,0.900420000000000
PILOT-A,27,5873,185957,185957/200000,0.929785000000000
PILOT-A,28,4696,190653,190653/200000,0.953265000000000
PILOT-A,29,3455,194108,194108/200000,0.970540000000000
PILOT-A,30,2420,196528,196528/200000,0.982640000000000
PILOT-A,31,1528,198056,198056/200000,0.990280000000000
PILOT-A,32,925,198981,198981/200000,0.994905000000000
PILOT-A,33,535,199516,199516/200000,0.997580000000000
PILOT-A,34,276,199792,199792/200000,0.998960000000000
PILOT-A,35,113,199905,199905/200000,0.999525000000000
PILOT-A,36,59,199964,199964/200000,0.999820000000000
PILOT-A,37,26,199990,199990/200000,0.999950000000000
PILOT-A,38,5,199995,199995/200000,0.999975000000000
PILOT-A,39,4,199999,199999/200000,0.999995000000000
PILOT-A,41,1,200000,200000/200000,1.000000000000000
PILOT-B,16,1,1,1/100000,0.000010000000000
PILOT-B,18,3,4,4/100000,0.000040000000000
PILOT-B,19,5,9,9/100000,0.000090000000000
PILOT-B,20,6,15,15/100000,0.000150000000000
PILOT-B,21,23,38,38/100000,0.000380000000000
PILOT-B,22,19,57,57/100000,0.000570000000000
PILOT-B,23,38,95,95/100000,0.000950000000000
PILOT-B,24,54,149,149/100000,0.001490000000000
PILOT-B,25,66,215,215/100000,0.002150000000000
PILOT-B,26,134,349,349/100000,0.003490000000000
PILOT-B,27,209,558,558/100000,0.005580000000000
PILOT-B,28,250,808,808/100000,0.008080000000000
PILOT-B,29,353,1161,1161/100000,0.011610000000000
PILOT-B,30,427,1588,1588/100000,0.015880000000000
PILOT-B,31,535,2123,2123/100000,0.021230000000000
PILOT-B,32,646,2769,2769/100000,0.027690000000000
PILOT-B,33,838,3607,3607/100000,0.036070000000000
PILOT-B,34,945,4552,4552/100000,0.045520000000000
PILOT-B,35,1055,5607,5607/100000,0.056070000000000
PILOT-B,36,1225,6832,6832/100000,0.068320000000000
PILOT-B,37,1285,8117,8117/100000,0.081170000000000
PILOT-B,38,1328,9445,9445/100000,0.094450000000000
PILOT-B,39,1481,10926,10926/100000,0.109260000000000
PILOT-B,40,1578,12504,12504/100000,0.125040000000000
PILOT-B,41,1566,14070,14070/100000,0.140700000000000
PILOT-B,42,1665,15735,15735/100000,0.157350000000000
