n,panel_role,rank,prime,all_obstruction_frequency,canonical_obstruction_frequency,losing_pair_count,coverage_numerator,coverage_denominator,coverage_decimal
240000005594,LOW_TAIL,1,3,167,167,391,167,391,0.427109974424552
240000005594,LOW_TAIL,2,7,51,38,391,51,391,0.130434782608696
240000005594,LOW_TAIL,3,11,47,19,391,47,391,0.120204603580563
240000005594,LOW_TAIL,4,23,20,10,391,20,391,0.051150895140665
240000005594,LOW_TAIL,5,19,19,9,391,19,391,0.048593350383632
240000005594,LOW_TAIL,6,31,16,9,391,16,391,0.040920716112532
240000005594,LOW_TAIL,7,47,11,7,391,11,391,0.028132992327366
240000005594,LOW_TAIL,8,83,8,4,391,8,391,0.020460358056266
240000005594,LOW_TAIL,9,43,7,4,391,7,391,0.017902813299233
240000005594,LOW_TAIL,10,59,7,2,391,7,391,0.017902813299233
240000005594,LOW_TAIL,11,71,6,2,391,6,391,0.015345268542199
240000005594,LOW_TAIL,12,67,5,2,391,5,391,0.012787723785166
240000005594,LOW_TAIL,13,79,5,3,391,5,391,0.012787723785166
240000005594,LOW_TAIL,14,103,5,2,391,5,391,0.012787723785166
240000005594,LOW_TAIL,15,107,4,1,391,4,391,0.010230179028133
240000005594,LOW_TAIL,16,131,4,0,391,4,391,0.010230179028133
240000005594,LOW_TAIL,17,331,4,2,391,4,391,0.010230179028133
240000005594,LOW_TAIL,18,179,3,0,391,3,391,0.007672634271100
240000005594,LOW_TAIL,19,223,3,2,391,3,391,0.007672634271100
240000005594,LOW_TAIL,20,239,3,1,391,3,391,0.007672634271100
240000005594,LOW_TAIL,21,283,3,0,391,3,391,0.007672634271100
240000005594,LOW_TAIL,22,571,3,1,391,3,391,0.007672634271100
240000005594,LOW_TAIL,23,643,3,0,391,3,391,0.007672634271100
240000005594,LOW_TAIL,24,127,2,1,391,2,391,0.005115089514066
240000005594,LOW_TAIL,25,139,2,0,391,2,391,0.005115089514066
240000005594,LOW_TAIL,26,167,2,0,391,2,391,0.005115089514066
240000005594,LOW_TAIL,27,227,2,0,391,2,391,0.005115089514066
240000005594,LOW_TAIL,28,251,2,2,391,2,391,0.005115089514066
240000005594,LOW_TAIL,29,311,2,1,391,2,391,0.005115089514066
240000005594,LOW_TAIL,30,359,2,1,391,2,391,0.005115089514066
240000005594,LOW_TAIL,31,439,2,1,391,2,391,0.005115089514066
240000005594,LOW_TAIL,32,443,2,0,391,2,391,0.005115089514066
240000005594,LOW_TAIL,33,491,2,1,391,2,391,0.005115089514066
240000005594,LOW_TAIL,34,523,2,1,391,2,391,0.005115089514066
240000005594,LOW_TAIL,35,587,2,2,391,2,391,0.005115089514066
240000005594,LOW_TAIL,36,751,2,1,391,2,391,0.005115089514066
240000005594,LOW_TAIL,37,947,2,0,391,2,391,0.005115089514066
240000005594,LOW_TAIL,38,1151,2,0,391,2,391,0.005115089514066
240000005594,LOW_TAIL,39,1319,2,0,391,2,391,0.005115089514066
240000005594,LOW_TAIL,40,1559,2,1,391,2,391,0.005115089514066
240000005594,LOW_TAIL,41,8485963,2,0,391,2,391,0.005115089514066
240000005594,LOW_TAIL,42,151,1,1,391,1,391,0.002557544757033
240000005594,LOW_TAIL,43,163,1,1,391,1,391,0.002557544757033
240000005594,LOW_TAIL,44,191,1,0,391,1,391,0.002557544757033
240000005594,LOW_TAIL,45,211,1,1,391,1,391,0.002557544757033
240000005594,LOW_TAIL,46,263,1,1,391,1,391,0.002557544757033
240000005594,LOW_TAIL,47,271,1,0,391,1,391,0.002557544757033
240000005594,LOW_TAIL,48,347,1,1,391,1,391,0.002557544757033
240000005594,LOW_TAIL,49,379,1,1,391,1,391,0.002557544757033
240000005594,LOW_TAIL,50,419,1,0,391,1,391,0.002557544757033
240000005594,LOW_TAIL,51,467,1,0,391,1,391,0.002557544757033
240000005594,LOW_TAIL,52,479,1,0,391,1,391,0.002557544757033
