n,panel_role,k,ranked_primes,covered_losing_pairs,losing_pair_count,coverage_numerator,coverage_denominator,coverage_decimal
240000005594,LOW_TAIL,1,3,167,391,167,391,0.427109974424552
240000005594,LOW_TAIL,2,3;7,205,391,205,391,0.524296675191816
240000005594,LOW_TAIL,4,3;7;11;23,235,391,235,391,0.601023017902813
240000005594,LOW_TAIL,8,3;7;11;23;19;31;47;83,264,391,264,391,0.675191815856777
240000005594,LOW_TAIL,16,3;7;11;23;19;31;47;83;43;59;71;67;79;103;107;131,279,391,279,391,0.713554987212276
240000004802,LOW_TAIL,1,3,166,389,166,389,0.426735218508997
240000004802,LOW_TAIL,2,3;7,199,389,199,389,0.511568123393316
240000004802,LOW_TAIL,4,3;7;11;19,238,389,238,389,0.611825192802057
240000004802,LOW_TAIL,8,3;7;11;19;23;31;43;47,261,389,261,389,0.670951156812339
240000004802,LOW_TAIL,16,3;7;11;19;23;31;43;47;71;67;59;79;83;163;103;127,277,389,277,389,0.712082262210797
240000044158,LOW_TAIL,1,3,158,388,158,388,0.407216494845361
240000044158,LOW_TAIL,2,3;7,196,388,196,388,0.505154639175258
240000044158,LOW_TAIL,4,3;7;11;19,235,388,235,388,0.605670103092784
240000044158,LOW_TAIL,8,3;7;11;19;23;31;43;47,263,388,263,388,0.677835051546392
240000044158,LOW_TAIL,16,3;7;11;19;23;31;43;47;71;67;79;83;223;59;103;367,278,388,278,388,0.716494845360825
240000000968,LOW_TAIL,1,3,165,387,165,387,0.426356589147287
240000000968,LOW_TAIL,2,3;7,202,387,202,387,0.521963824289406
240000000968,LOW_TAIL,4,3;7;11;19,228,387,228,387,0.589147286821705
240000000968,LOW_TAIL,8,3;7;11;19;23;31;71;47,250,387,250,387,0.645994832041344
240000000968,LOW_TAIL,16,3;7;11;19;23;31;71;47;59;43;67;79;127;131;167;83,268,387,268,387,0.692506459948320
240000001544,LOW_TAIL,1,3,166,386,166,386,0.430051813471503
240000001544,LOW_TAIL,2,3;7,195,386,195,386,0.505181347150259
240000001544,LOW_TAIL,4,3;7;11;19,229,386,229,386,0.593264248704663
240000001544,LOW_TAIL,8,3;7;11;19;23;31;71;43,252,386,252,386,0.652849740932642
240000001544,LOW_TAIL,16,3;7;11;19;23;31;71;43;47;59;67;83;179;79;103;131,268,386,268,386,0.694300518134715
240000002114,MATCHED_CONTROL,1,3,125,357,125,357,0.350140056022409
240000002114,MATCHED_CONTROL,2,3;7,154,357,154,357,0.431372549019608
240000002114,MATCHED_CONTROL,4,3;7;11;19,189,357,189,357,0.529411764705882
240000002114,MATCHED_CONTROL,8,3;7;11;19;23;31;43;47,214,357,214,357,0.599439775910364
240000002114,MATCHED_CONTROL,16,3;7;11;19;23;31;43;47;79;139;67;107;71;131;151;179,231,357,231,357,0.647058823529412
240000003122,MATCHED_CONTROL,1,3,125,354,125,354,0.353107344632768
240000003122,MATCHED_CONTROL,2,3;7,153,354,153,354,0.432203389830508
240000003122,MATCHED_CONTROL,4,3;7;19;23,182,354,182,354,0.514124293785311
240000003122,MATCHED_CONTROL,8,3;7;19;23;31;43;71;59,205,354,205,354,0.579096045197740
240000003122,MATCHED_CONTROL,16,3;7;19;23;31;43;71;59;47;83;103;127;139;79;131;251,227,354,227,354,0.641242937853107
240000048838,MATCHED_CONTROL,1,3,139,352,139,352,0.394886363636364
240000048838,MATCHED_CONTROL,2,3;7,173,352,173,352,0.491477272727273
240000048838,MATCHED_CONTROL,4,3;7;19;23,193,352,193,352,0.548295454545455
240000048838,MATCHED_CONTROL,8,3;7;19;23;31;43;47;79,215,352,215,352,0.610795454545455
240000048838,MATCHED_CONTROL,16,3;7;19;23;31;43;47;79;59;67;83;127;131;151;199;263,230,352,230,352,0.653409090909091
240000000728,MATCHED_CONTROL,1,3,127,349,127,349,0.363896848137536
240000000728,MATCHED_CONTROL,2,3;7,155,349,155,349,0.444126074498567
240000000728,MATCHED_CONTROL,4,3;7;11;19,189,349,189,349,0.541547277936963
240000000728,MATCHED_CONTROL,8,3;7;11;19;23;43;31;47,214,349,214,349,0.613180515759312
240000000728,MATCHED_CONTROL,16,3;7;11;19;23;43;31;47;59;71;79;83;107;163;179;191,234,349,234,349,0.670487106017192
240000003584,MATCHED_CONTROL,1,3,145,354,145,354,0.409604519774011
240000003584,MATCHED_CONTROL,2,3;7,183,354,183,354,0.516949152542373
240000003584,MATCHED_CONTROL,4,3;7;19;23,201,354,201,354,0.567796610169492
240000003584,MATCHED_CONTROL,8,3;7;19;23;31;43;71;59,223,354,223,354,0.629943502824859
240000003584,MATCHED_CONTROL,16,3;7;19;23;31;43;71;59;83;47;67;139;103;131;239;127,246,354,246,354,0.694915254237288
