label,ordering,step,checkpoint,selected_prime,newly_covered_pairs,newly_covered_pair_set,selected_primes,cumulative_covered_active_pairs,active_pair_count,cumulative_covered_current_losers,current_losing_pair_count,uncovered_current_losers,uncovered_original_winners,product_M,M_bit_length,M_decimal_digit_count
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,1,YES,3,143,0:2;0:4;0:8;0:10;0:14;0:16;1:1;1:5;1:7;1:11;1:13;2:1;2:3;2:7;2:9;2:13;2:15;3:1;3:3;3:7;3:9;3:13;3:15;4:1;4:3;4:7;4:9;4:13;4:15;5:1;5:3;5:7;5:9;5:13;5:15;6:1;6:3;6:7;6:9;6:13;6:15;7:1;7:3;7:7;7:9;7:13;7:15;8:1;8:3;8:7;8:9;8:13;8:15;9:1;9:3;9:7;9:9;9:13;9:15;10:1;10:3;10:7;10:9;10:13;10:15;11:1;11:3;11:7;11:9;11:13;11:15;12:1;12:3;12:7;12:9;12:13;12:15;13:1;13:3;13:7;13:9;13:13;13:15;14:1;14:3;14:7;14:9;14:13;14:15;15:1;15:3;15:7;15:9;15:13;15:15;16:1;16:3;16:7;16:9;16:13;16:15;17:1;17:3;17:7;17:9;17:13;17:15;18:1;18:3;18:7;18:9;18:13;18:15;19:1;19:3;19:7;19:9;19:13;19:15;20:1;20:3;20:7;20:9;20:13;20:15;21:1;21:3;21:7;21:9;21:13;21:15;22:1;22:3;22:7;22:9;22:13;22:15;23:1;23:3;23:7;23:9;23:13;23:15,3,143,407,143,391,248,16,9,4,1
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,2,YES,7,39,0:1;0:7;0:13;2:2;2:8;2:14;4:4;4:10;5:0;5:12;7:5;7:11;8:2;8:14;10:10;10:16;11:0;11:6;11:12;13:5;13:11;14:2;14:8;14:14;16:4;16:10;16:16;17:0;17:6;17:12;19:5;19:11;20:8;20:14;22:4;22:10;22:16;23:6;23:12,3;7,182,407,182,391,209,16,441,9,3
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,3,NO,11,23,1:6;1:16;3:2;3:12;4:8;6:6;6:11;6:16;8:12;9:8;11:11;11:16;13:2;13:12;16:6;16:11;18:2;18:12;19:8;21:6;21:11;21:16;23:2,3;7;11,205,407,205,391,186,16,53361,16,5
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,4,YES,23,11,0:5;1:12;5:6;9:16;10:14;11:5;12:12;15:10;20:16;21:14;22:5,3;7;11;23,216,407,216,391,175,16,28227969,25,8
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,5,NO,19,9,2:11;3:6;8:5;11:10;12:8;13:0;14:12;20:2;20:11,3;7;11;23;19,225,407,225,391,166,16,10190296809,34,11
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,6,NO,31,9,2:0;2:6;2:12;6:2;6:5;6:8;6:14;20:4;20:10,3;7;11;23;19;31,234,407,234,391,157,16,9792875233449,44,13
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,7,NO,47,8,3:8;4:0;5:14;10:12;12:5;14:6;19:16;21:4,3;7;11;23;19;31;47,242,407,242,391,149,16,21632461390688841,55,17
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,8,YES,79,4,1:2;3:0;15:8;18:11,3;7;11;23;19;31;47;79,246,407,246,391,145,16,135008191539289056681,67,21
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,9,NO,83,4,3:10;5:4;9:12;19:6,3;7;11;23;19;31;47;79;83,250,407,250,391,141,16,930071431514162311475409,80,24
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,10,NO,43,3,0:3;12:14;21:12,3;7;11;23;19;31;47;79;83;43,253,407,253,391,138,16,1719702076869686113918031241,91,28
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,11,NO,571,3,1:3;19:2;22:11,3;7;11;23;19;31;47;79;83;43;571,256,407,256,391,135,16,560693384844669330267948823846881,109,33
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,12,NO,59,2,9:14;18:0,3;7;11;23;19;31;47;79;83;43;571;59,258,407,258,391,133,16,1951773672644293938662729855810992761,121,37
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,13,NO,67,2,2:10;3:4,3;7;11;23;19;31;47;79;83;43;571;59;67,260,407,260,391,131,16,8761512016500235490656994322735546504129,133,40
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,14,NO,71,2,2:4;23:8,3;7;11;23;19;31;47;79;83;43;571;59;67;71,262,407,262,391,129,16,44166782075177687108401908380909889927314289,145,44
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,15,NO,103,2,12:4;21:8,3;7;11;23;19;31;47;79;83;43;571;59;67;71;103,264,407,264,391,127,16,468565391035560082533035846013073022238877292001,159,48
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,16,YES,251,2,17:5;19:14,3;7;11;23;19;31;47;79;83;43;571;59;67;71;103;251,266,407,266,391,125,16,29520088200631320759663791334669613474071508273355001,175,53
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,17,NO,331,2,6:10;10:6,3;7;11;23;19;31;47;79;83;43;571;59;67;71;103;251;331,268,407,268,391,123,16,3234250383349368133749524642417737521832748517937047264561,192,58
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,18,NO,523,2,0:12;5:11,3;7;11;23;19;31;47;79;83;43;571;59;67;71;103;251;331;523,270,407,270,391,121,16,884661273107169316256373725915881326609389869362802601228105769,210,63
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,19,NO,587,2,9:4;10:0,3;7;11;23;19;31;47;79;83;43;571;59;67;71;103;251;331;523;587,272,407,272,391,119,16,304826850213264224133142438365109312828470857896471529502567176718561,228,69
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,20,NO,751,2,4:6;7:0,3;7;11;23;19;31;47;79;83;43;571;59;67;71;103;251;331;523;587;751,274,407,274,391,117,16,171922648347131235675316468380360017544570392324467839110977390236445122561,247,75
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,21,NO,107,1,14:4,3;7;11;23;19;31;47;79;83;43;571;59;67;71;103;251;331;523;587;751;107,275,407,275,391,116,16,1968342400926305517246698246486741840867786421722832289981580140817060208200889,261,79
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,22,NO,127,1,23:4,3;7;11;23;19;31;47;79;83;43;571;59;67;71;103;251;331;523;587;751;107;127,276,407,276,391,115,16,31747394584540381687671996017584659151356527195967562005112906091238364098072138681,275,83
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,23,NO,139,1,1:9,3;7;11;23;19;31;47;79;83;43;571;59;67;71;103;251;331;523;587;751;107;127;139,277,407,277,391,114,16,613391410767904714587510635055753199463359461953289265500786458588816432738851791455601,289,87
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,24,NO,151,1,18:16,3;7;11;23;19;31;47;79;83;43;571;59;67;71;103;251;331;523;587;751;107;127;139;151,278,407,278,391,113,16,13985937556918995397309829989906228700964059091996948542683432042283603482878559696979158401,303,92
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,25,NO,211,1,17:2,3;7;11;23;19;31;47;79;83;43;571;59;67;71;103;251;331;523;587;751;107;127;139;151;211,279,407,279,391,112,16,622667925971590594083630940980615207995620874834796146068809077954508310661236356269209111170921,319,96
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,26,NO,223,1,15:6,3;7;11;23;19;31;47;79;83;43;571;59;67;71;103;251;331;523;587;751;107;127;139;151;211;223,280,407,280,391,111,16,30964653290641228653184883064025013678414230484659577547855806637599743780872622760911499889418730409,334,101
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,27,NO,239,1,17:8,3;7;11;23;19;31;47;79;83;43;571;59;67;71;103;251;331;523;587;751;107;127;139;151;211;223;239,281,407,281,391,110,16,1768731960614717621898573705500172806324699259514239729111071530946334964507225084726025785183487299692489,350,106
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,28,NO,263,1,10:8,3;7;11;23;19;31;47;79;83;43;571;59;67;71;103;251;331;523;587;751;107;127;139;151;211;223;239;263,282,407,282,391,109,16,122341420983759403189102444635741452840673123081340447822883706724027043160000251885414477535356633032429771641,366,111
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,29,NO,311,1,15:12,3;7;11;23;19;31;47;79;83;43;571;59;67;71;103;251;331;523;587;751;107;127;139;151;211;223;239;263;311,283,407,283,391,108,16,11832984578970193235853177547613549060202745137550329453877134998054619641478384362609173681697228903529639942889161,383,116
HEURISTIC_P2_PERSISTENT_CORE,MARGINAL_COVERAGE_GREEDY,30,NO,347,1,7:16,3;7;11;23;19;31;47;79;83;43;571;59;67;71;103;251;331;523;587;751;107;127;139;151;211;223;239;263;311;347,284,407,284,391,107,16,1424797840169221997335845255330599828789952339267297619211891947980758696410770782717407993839481635045100415883340986849,400,121
