class_index,class_id,t3,t7,t11,t23,G,uncovered_pairs,crt_residue,point_index,n,active_pairs,T,mask_offset,mask_sha256
0,CAL-216,2,41,74,504,216,191,626828474,0,184673186354,407,31,128,1848eb34e5d2f9c230b3bc4e4af5e205b7aacefc07550133043c076e69dc110e
0,CAL-216,2,41,74,504,216,191,626828474,1,185802305114,407,32,179,cd194191255b4a0aecf67fd5a1983408724ef80d1b349cfa64ad48822aa25e77
0,CAL-216,2,41,74,504,216,191,626828474,2,186931423874,407,33,230,b923916f692fe8e700c97be6ff5bb96f6b42c9439611c908b53fa935cb4d789f
0,CAL-216,2,41,74,504,216,191,626828474,3,188060542634,407,23,281,5a6c3c97224181ec95cebf9dc3143e577e77085338bdd985503163fb563bb8c8
0,CAL-216,2,41,74,504,216,191,626828474,4,189189661394,407,34,332,d1470bc4b5dc8074df3b95820c148776afa5c68f81e6072b1285b3bd71b7b577
0,CAL-216,2,41,74,504,216,191,626828474,5,190318780154,407,35,383,7aec937ddac80342b4262d63f20bd93952fae9f2c9a69947f96878b0e5bf731f
0,CAL-216,2,41,74,504,216,191,626828474,6,191447898914,407,30,434,f613154293b287c17bc9a6f6dc4da8ae2685a6719bdcfc08ae67697b3d8f7301
0,CAL-216,2,41,74,504,216,191,626828474,7,192577017674,407,34,485,07b972ce7327eefceb8efb0334339afced7189bbae947a1ddb102df0d411c9a4
0,CAL-216,2,41,74,504,216,191,626828474,8,193706136434,407,30,536,6e08458e6a8c0caa49cfc052e94f76a8310054ed2e85a781c8de008d74b5a676
0,CAL-216,2,41,74,504,216,191,626828474,9,194835255194,407,23,587,6a49b7abd0120854cb23868fc9e3b73294579fa8c0a595cd2e66be05930d522a
0,CAL-216,2,41,74,504,216,191,626828474,10,195964373954,407,22,638,ab0c8977c5afad8c342fcc71fe19cf3ddbb40e0c8f74630df562be2f0a82882b
0,CAL-216,2,41,74,504,216,191,626828474,11,197093492714,407,26,689,546bf7e8184dbdb30bd10e7111c032ab2b732f4b786980f0c0adc3d9cc30fbd1
0,CAL-216,2,41,74,504,216,191,626828474,12,198222611474,407,27,740,25e0d48dca0b8536b08a412f2f19d2fdbfa22738f722888371be6c60f6f5c185
0,CAL-216,2,41,74,504,216,191,626828474,13,199351730234,407,30,791,4e1c4e36cc8562e0cee79a621875dad03d6570b1e704f1c574c00fa83e1e5df9
0,CAL-216,2,41,74,504,216,191,626828474,14,200480848994,407,39,842,e2dd345ef045025ea50e23f293bb2255939f94498bde885d7fcfa0e9d49e98cb
0,CAL-216,2,41,74,504,216,191,626828474,15,201609967754,407,33,893,4c869f09fbd72009a714de7a851b5f663b1f2830b58d47aa1cfbba79f5abd133
0,CAL-216,2,41,74,504,216,191,626828474,16,202739086514,407,31,944,892a02db13f221fd5a2ae437d83b23c93f7a44dcf7a1f49a9cdd5c87984089f4
0,CAL-216,2,41,74,504,216,191,626828474,17,203868205274,407,38,995,13c2a89a21aa8ae224804cbc86360010ad3e4ad6794d8894b9365cd05e4ac197
0,CAL-216,2,41,74,504,216,191,626828474,18,204997324034,407,28,1046,012ebec09d485774cec3957e8e1acd34d01a0612b213e03ac773f5d16438a294
0,CAL-216,2,41,74,504,216,191,626828474,19,206126442794,407,30,1097,80ba64858ab7142512bdde743fd523d8db24de83c912b6f31adf31cdd5236bad
0,CAL-216,2,41,74,504,216,191,626828474,20,207255561554,407,37,1148,90a1ecb6471b39cf01f1b78309275c494b4904e979a5483d7ecfbc4c0b80d9f6
0,CAL-216,2,41,74,504,216,191,626828474,21,208384680314,407,29,1199,23660bf972bbc570604c5b694fff3895b121a40e5d5bf43baecbf3d8c79243bf
0,CAL-216,2,41,74,504,216,191,626828474,22,209513799074,407,28,1250,5b69f28df99a634c29dffa890208f8cf3012837c097f97e6d4e2fb5a450ec0d1
0,CAL-216,2,41,74,504,216,191,626828474,23,210642917834,407,33,1301,a7dbf5001bd94cbfeadf58177a38aed8ebc984cb1b6e3e0b923f918293ec7d71
0,CAL-216,2,41,74,504,216,191,626828474,24,211772036594,407,32,1352,462e419026cd9582c167394ab596cf0b7b7f7d284efb91581c7826530fbdee0e
0,CAL-216,2,41,74,504,216,191,626828474,25,212901155354,407,31,1403,c19884c7c00f29ecaaf819e94713a17409f349d99b73af6e96e2722d13bf8cd7
0,CAL-216,2,41,74,504,216,191,626828474,26,214030274114,407,37,1454,7ef4a6edec790180afb0aeac9a33624adbc96c5fd237dfbf870cc5b0f3d4e1f2
0,CAL-216,2,41,74,504,216,191,626828474,27,215159392874,407,26,1505,51d7736768ccda730007d0f3227834cb89955f7e56d120ae1e665611bc36a340
0,CAL-216,2,41,74,504,216,191,626828474,28,216288511634,407,34,1556,a197c55c5be5562c99e801d6eb46a0f5004fb6de5c90baf533b780be6697cdc0
0,CAL-216,2,41,74,504,216,191,626828474,29,217417630394,407,37,1607,ca42aec2c77f0f532d51d2e9b9c2d9b02fcc7dbdfa0ca16bbb0191259a5c181b
0,CAL-216,2,41,74,504,216,191,626828474,30,218546749154,407,32,1658,4944b0d782b0ae2d37db70ef18c4bb3e34dd5142964a0288410188b052e6119d
0,CAL-216,2,41,74,504,216,191,626828474,31,219675867914,407,22,1709,366150b5c1d200a07679e2d1f04231bd0d6d622bcff8ce73fb668cff3568c664
0,CAL-216,2,41,74,504,216,191,626828474,32,220804986674,407,28,1760,f4666fa68a2d5aa2be0087d53d1bf71d6ce61b9e3a153d03facae7f2ce62205e
0,CAL-216,2,41,74,504,216,191,626828474,33,221934105434,407,30,1811,bb4aaed44aad680f94b9da38f10da196233ac9885d6826fc4d60eb956a9c5c90
0,CAL-216,2,41,74,504,216,191,626828474,34,223063224194,407,28,1862,23fde9bbf607a28f5669042d488062747b8250a1c6fac5fa88815dbec317ebf0
0,CAL-216,2,41,74,504,216,191,626828474,35,224192342954,407,40,1913,cc255b0b571817cb48a8188e29b5f636d211ea66fbb68ed3c1f85b5a52ade089
0,CAL-216,2,41,74,504,216,191,626828474,36,225321461714,407,30,1964,ba5bcd10c5df9a9a317484cf1e1c924d72cbcd629a385711504760bc253523cb
0,CAL-216,2,41,74,504,216,191,626828474,37,226450580474,407,29,2015,8742eebdcd15d7d80a317ce30d8b94ffb9669f803ac5eb85775f9056f4b41a0a
0,CAL-216,2,41,74,504,216,191,626828474,38,227579699234,407,37,2066,107a8314017207f22a1c9568127951d00e20771bde536bf1d673401c46dbb1b0
0,CAL-216,2,41,74,504,216,191,626828474,39,228708817994,407,25,2117,aa7e0fb5eeb9d2539e453ac8472f9facaf7af312c5abfc5d25a888eab1f99614
0,CAL-216,2,41,74,504,216,191,626828474,40,229837936754,407,27,2168,6473fa0b16ee9828ebac256751dfc95cab9a4a4472e4798011e2eb643ddd1846
0,CAL-216,2,41,74,504,216,191,626828474,41,230967055514,407,38,2219,d2e636b263c3a7cf013a3f6de3c725143537580be47e638825245355b57bd0c3
0,CAL-216,2,41,74,504,216,191,626828474,42,232096174274,407,36,2270,86f3efc8637a13816d5dc4a3cb79cd997b35c1261f965ff3d8a49c0ab0332f70
