class_index,class_id,t3,t7,t11,t23,G,uncovered_pairs,crt_residue,point_index,n,active_pairs
0,CAL-216,2,41,74,504,216,191,626828474,0,184673186354,407
0,CAL-216,2,41,74,504,216,191,626828474,1,185802305114,407
0,CAL-216,2,41,74,504,216,191,626828474,2,186931423874,407
0,CAL-216,2,41,74,504,216,191,626828474,3,188060542634,407
0,CAL-216,2,41,74,504,216,191,626828474,4,189189661394,407
0,CAL-216,2,41,74,504,216,191,626828474,5,190318780154,407
0,CAL-216,2,41,74,504,216,191,626828474,6,191447898914,407
0,CAL-216,2,41,74,504,216,191,626828474,7,192577017674,407
0,CAL-216,2,41,74,504,216,191,626828474,8,193706136434,407
0,CAL-216,2,41,74,504,216,191,626828474,9,194835255194,407
0,CAL-216,2,41,74,504,216,191,626828474,10,195964373954,407
0,CAL-216,2,41,74,504,216,191,626828474,11,197093492714,407
0,CAL-216,2,41,74,504,216,191,626828474,12,198222611474,407
0,CAL-216,2,41,74,504,216,191,626828474,13,199351730234,407
0,CAL-216,2,41,74,504,216,191,626828474,14,200480848994,407
0,CAL-216,2,41,74,504,216,191,626828474,15,201609967754,407
0,CAL-216,2,41,74,504,216,191,626828474,16,202739086514,407
0,CAL-216,2,41,74,504,216,191,626828474,17,203868205274,407
0,CAL-216,2,41,74,504,216,191,626828474,18,204997324034,407
0,CAL-216,2,41,74,504,216,191,626828474,19,206126442794,407
0,CAL-216,2,41,74,504,216,191,626828474,20,207255561554,407
0,CAL-216,2,41,74,504,216,191,626828474,21,208384680314,407
0,CAL-216,2,41,74,504,216,191,626828474,22,209513799074,407
0,CAL-216,2,41,74,504,216,191,626828474,23,210642917834,407
0,CAL-216,2,41,74,504,216,191,626828474,24,211772036594,407
0,CAL-216,2,41,74,504,216,191,626828474,25,212901155354,407
0,CAL-216,2,41,74,504,216,191,626828474,26,214030274114,407
0,CAL-216,2,41,74,504,216,191,626828474,27,215159392874,407
0,CAL-216,2,41,74,504,216,191,626828474,28,216288511634,407
0,CAL-216,2,41,74,504,216,191,626828474,29,217417630394,407
0,CAL-216,2,41,74,504,216,191,626828474,30,218546749154,407
0,CAL-216,2,41,74,504,216,191,626828474,31,219675867914,407
0,CAL-216,2,41,74,504,216,191,626828474,32,220804986674,407
0,CAL-216,2,41,74,504,216,191,626828474,33,221934105434,407
0,CAL-216,2,41,74,504,216,191,626828474,34,223063224194,407
0,CAL-216,2,41,74,504,216,191,626828474,35,224192342954,407
0,CAL-216,2,41,74,504,216,191,626828474,36,225321461714,407
0,CAL-216,2,41,74,504,216,191,626828474,37,226450580474,407
0,CAL-216,2,41,74,504,216,191,626828474,38,227579699234,407
0,CAL-216,2,41,74,504,216,191,626828474,39,228708817994,407
0,CAL-216,2,41,74,504,216,191,626828474,40,229837936754,407
0,CAL-216,2,41,74,504,216,191,626828474,41,230967055514,407
0,CAL-216,2,41,74,504,216,191,626828474,42,232096174274,407
0,CAL-216,2,41,74,504,216,191,626828474,43,233225293034,407
0,CAL-216,2,41,74,504,216,191,626828474,44,234354411794,407
0,CAL-216,2,41,74,504,216,191,626828474,45,235483530554,407
0,CAL-216,2,41,74,504,216,191,626828474,46,236612649314,407
