pair_index,c,d,shift,exposure_count,winner_count,winner_frequency_numerator,winner_frequency_denominator,winner_frequency_decimal,persistently_covered_class_count,classes_with_at_least_one_win,maximum_within_class_frequency_numerator,maximum_within_class_frequency_denominator,maximum_within_class_frequency_decimal
0,0,0,2,4671,994,994,4671,0.212802397773496039,0,84,17,56,0.303571428571428571
1,0,1,6,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
2,0,2,26,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
3,0,3,126,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
4,0,4,626,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
5,0,5,3126,4671,1238,1238,4671,0.265039606080068508,0,84,19,55,0.345454545454545455
6,0,6,15626,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
7,0,7,78126,4671,1209,403,1557,0.258831085420680796,0,84,5,14,0.357142857142857143
8,0,8,390626,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
9,0,9,1953126,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
10,0,10,9765626,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
11,0,11,48828126,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
12,0,12,244140626,4671,987,329,1557,0.211303789338471419,0,84,17,55,0.309090909090909091
13,0,13,1220703126,4671,1211,7,27,0.259259259259259259,0,84,3,8,0.375000000000000000
14,0,14,6103515626,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
15,0,15,30517578126,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
16,0,16,152587890626,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
17,1,0,4,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
18,1,1,8,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
19,1,2,28,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
20,1,3,128,4671,1891,1891,4671,0.404838364375936630,0,84,15,28,0.535714285714285714
21,1,4,628,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
22,1,5,3128,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
23,1,6,15628,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
24,1,7,78128,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
25,1,8,390628,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
26,1,9,1953128,4671,1869,623,1557,0.400128452151573539,0,84,29,55,0.527272727272727273
27,1,10,9765628,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
28,1,11,48828128,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
29,1,12,244140628,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
30,1,13,1220703128,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
31,1,14,6103515628,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
32,1,15,30517578128,4671,1880,1880,4671,0.402483408263755085,0,84,6,11,0.545454545454545455
33,1,16,152587890628,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
34,2,0,10,4671,1242,46,173,0.265895953757225434,0,84,3,8,0.375000000000000000
35,2,1,14,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
36,2,2,34,4671,1319,1319,4671,0.282380646542496253,0,84,3,8,0.375000000000000000
37,2,3,134,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
38,2,4,634,4671,1306,1306,4671,0.279597516591736245,0,84,21,55,0.381818181818181818
39,2,5,3134,4671,984,328,1557,0.210661528580603725,0,84,19,56,0.339285714285714286
40,2,6,15634,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
41,2,7,78134,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
42,2,8,390634,4671,1295,1295,4671,0.277242560479554699,0,84,21,55,0.381818181818181818
43,2,9,1953134,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
44,2,10,9765634,4671,1317,439,1557,0.281952472703917791,0,84,11,28,0.392857142857142857
45,2,11,48828134,4671,998,998,4671,0.213658745450652965,0,84,17,56,0.303571428571428571
46,2,12,244140634,4671,1292,1292,4671,0.276600299721687005,0,84,4,11,0.363636363636363636
47,2,13,1220703134,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
48,2,14,6103515634,4671,1296,48,173,0.277456647398843931,0,84,11,28,0.392857142857142857
49,2,15,30517578134,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
50,2,16,152587890634,4671,1324,1324,4671,0.283451081138942411,0,84,4,11,0.363636363636363636
51,3,0,28,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
52,3,1,32,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
53,3,2,52,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
54,3,3,152,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
55,3,4,652,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
56,3,5,3152,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
57,3,6,15652,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
58,3,7,78152,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
59,3,8,390652,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
60,3,9,1953152,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
61,3,10,9765652,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
62,3,11,48828152,4671,1911,637,1557,0.409120102761721259,0,84,28,55,0.509090909090909091
63,3,12,244140652,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
64,3,13,1220703152,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
65,3,14,6103515652,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
66,3,15,30517578152,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
67,3,16,152587890652,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
68,4,0,82,4671,1243,1243,4671,0.266110040676514665,0,84,3,8,0.375000000000000000
69,4,1,86,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
70,4,2,106,4671,1225,1225,4671,0.262256476129308499,0,84,5,14,0.357142857142857143
71,4,3,206,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
72,4,4,706,4671,1218,406,1557,0.260757867694283879,0,84,19,55,0.345454545454545455
73,4,5,3206,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
74,4,6,15706,4671,1242,46,173,0.265895953757225434,0,84,11,28,0.392857142857142857
75,4,7,78206,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
76,4,8,390706,4671,1235,1235,4671,0.264397345322200814,0,84,3,8,0.375000000000000000
77,4,9,1953206,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
78,4,10,9765706,4671,1256,1256,4671,0.268893170627274674,0,84,4,11,0.363636363636363636
79,4,11,48828206,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
80,4,12,244140706,4671,1252,1252,4671,0.268036822950117748,0,84,21,55,0.381818181818181818
81,4,13,1220703206,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
82,4,14,6103515706,4671,1241,1241,4671,0.265681866837936202,0,84,23,55,0.418181818181818182
83,4,15,30517578206,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
84,4,16,152587890706,4671,1304,1304,4671,0.279169342753157782,0,84,3,8,0.375000000000000000
85,5,0,244,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
86,5,1,248,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
87,5,2,268,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
88,5,3,368,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
89,5,4,868,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
90,5,5,3368,4671,1857,619,1557,0.397559409120102762,0,84,29,56,0.517857142857142857
91,5,6,15868,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
92,5,7,78368,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
93,5,8,390868,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
94,5,9,1953368,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
95,5,10,9765868,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
96,5,11,48828368,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
97,5,12,244140868,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
98,5,13,1220703368,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
99,5,14,6103515868,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
100,5,15,30517578368,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
101,5,16,152587890868,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
102,6,0,730,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
103,6,1,734,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
104,6,2,754,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
105,6,3,854,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
106,6,4,1354,4671,1278,142,519,0.273603082851637765,0,84,4,11,0.363636363636363636
107,6,5,3854,4671,994,994,4671,0.212802397773496039,0,84,18,55,0.327272727272727273
108,6,6,16354,4671,1314,146,519,0.281310211946050096,0,84,3,8,0.375000000000000000
109,6,7,78854,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
110,6,8,391354,4671,1323,49,173,0.283236994219653179,0,84,11,28,0.392857142857142857
111,6,9,1953854,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
112,6,10,9766354,4671,1276,1276,4671,0.273174909013059302,0,84,3,8,0.375000000000000000
113,6,11,48828854,4671,1008,112,519,0.215799614643545279,0,84,17,55,0.309090909090909091
114,6,12,244141354,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
115,6,13,1220703854,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
116,6,14,6103516354,4671,1319,1319,4671,0.282380646542496253,0,84,5,14,0.357142857142857143
117,6,15,30517578854,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
118,6,16,152587891354,4671,1343,1343,4671,0.287518732605437808,0,84,21,55,0.381818181818181818
119,7,0,2188,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
120,7,1,2192,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
121,7,2,2212,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
122,7,3,2312,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
123,7,4,2812,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
124,7,5,5312,4671,1872,208,519,0.400770712909441233,0,84,29,56,0.517857142857142857
125,7,6,17812,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
126,7,7,80312,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
127,7,8,392812,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
128,7,9,1955312,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
129,7,10,9767812,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
130,7,11,48830312,4671,1896,632,1557,0.405908798972382787,0,84,1,2,0.500000000000000000
131,7,12,244142812,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
132,7,13,1220705312,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
133,7,14,6103517812,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
134,7,15,30517580312,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
135,7,16,152587892812,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
136,8,0,6562,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
137,8,1,6566,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
138,8,2,6586,4671,1275,425,1557,0.272960822093770071,0,84,11,28,0.392857142857142857
139,8,3,6686,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
140,8,4,7186,4671,1266,422,1557,0.271034039820166988,0,84,21,55,0.381818181818181818
141,8,5,9686,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
142,8,6,22186,4671,1267,1267,4671,0.271248126739456219,0,84,23,55,0.418181818181818182
143,8,7,84686,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
144,8,8,397186,4671,1254,418,1557,0.268464996788696211,0,84,11,28,0.392857142857142857
145,8,9,1959686,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
146,8,10,9772186,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
147,8,11,48834686,4671,957,319,1557,0.204881181759794477,0,84,16,55,0.290909090909090909
148,8,12,244147186,4671,1210,1210,4671,0.259045172339970028,0,84,4,11,0.363636363636363636
149,8,13,1220709686,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
150,8,14,6103522186,4671,1246,1246,4671,0.266752301434382359,0,84,4,11,0.363636363636363636
151,8,15,30517584686,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
152,8,16,152587897186,4671,1272,424,1557,0.272318561335902376,0,84,21,55,0.381818181818181818
153,9,0,19684,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
154,9,1,19688,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
155,9,2,19708,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
156,9,3,19808,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
157,9,4,20308,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
