t3,t7,t11,t23,mask_digest,crt_residue,modulus,member_count,previously_designed_class,previously_evaluated_integer_count,fresh_integer_count,minimum_fresh_integer,maximum_fresh_integer,member_digest,fresh_member_digest
2,5,32,11,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,47529074,1129118760,56,False,1,55,184093886954,246195418754,2902ce985be74eb7763210c28cdbe264114c3628011b5f72c45474bb209241d4,372caaf5c1014db3a22d9fb17a0c1169e9d721edb7d01eab0479c6f1cc389b99
2,5,32,57,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,783910874,1129118760,55,False,2,53,184830268754,245802681794,68f6ba4530599edcd8b065cc1e084c2d47b9afae8d30aaa4aaabb560d4fd903e,40faf13efdb173ddc5b79594d50c043fbee1840d799711f16852c057f965544a
2,5,32,103,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,391173914,1129118760,56,False,1,55,184437531794,246539063594,ad2d0cd5c9020ad09b1ac7f544cff661fdba812b540dede452b6e19793e2b765,e8d122edf15ab6f3841df3e9fed1f6d15c225189043cb395ddd8ef112740632d
2,5,32,172,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,931187234,1129118760,55,False,2,53,184977545114,245949958154,7f38531060de39d3a29f753d00e694832e6546659a641528858dd1873aed9ad4,ee40ef2366eb5db15d0d662ac09aec6556674a27e2e7ddd33529a74fa8fdab09
2,5,32,195,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,734818754,1129118760,55,False,2,53,184781176634,245753589674,9e4fc8e93b97b71853ee0836415a781885f076bc3f0ad8582fd75449ef5ff171,9f48f533bed2ef6be950836b1319dac983fe43fe9dab11b687885fafb3522feb
2,5,32,241,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,342081794,1129118760,56,False,1,55,184388439674,246489971474,5f1d859fd6d4d6c21fbc86ed7791310a0b4916953a0fc48c07b11a4633569852,5f8774a21d75e5fd710dcd6bfa6969d2a70f0794f31dac59c3c85c05129ec553
2,5,32,264,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,145713314,1129118760,56,False,1,55,184192071194,246293602994,70dbfc136685ba78696b6135b818a666874b3e71a57b88425cb27b0b391ccbdd,7b82b2196ce4fdafdfea6c0fc53f73b818a2f497908c874598816cf5da3c9bcc
2,5,32,287,fd92642879c505632baac57cb99ad131ba7b17e75386a1c826e410baa428aeee,1078463594,1129118760,56,False,2,54,183995702714,246097234514,f86363da25c666ff02c4a11087c746bda353f6116a34660265174ad3bde3eee8,3c12ea1760e33b163532a9a2ddf1fc1a0b3810aed70dd1aa33fd784ca86badf6
2,5,32,310,65a6bbd42eb3518f4612341df4c100fa95786bebb8d3847106fe56e810186b8a,882095114,1129118760,55,False,2,53,184928452994,245900866034,454da22b81c92122f895efd270674069e2732714f9fd322c340632637f429523,1543209d613c95d50a72cb9e41517bc0cfd9259a3e2387db6c919f01c24841c3
2,5,32,356,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,489358154,1129118760,56,False,1,55,184535716034,246637247834,da1da321fd089ef2db096f5ebef05a3fb59061b0d22d25ed2198b2fff04b65d2,5b35cb5fb4fe39c0747481d46a0ed3d12b008f2e5161fc128e1bae964c53c7e8
