record_type,low_or_n,high,exposure_levels,component_ids
inclusive_interval,2,200001,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,240000000001,241600000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,242000000001,242010000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,244000000001,244010000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,246730000000,246739999999,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,248000000001,248010000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,250000000001,250100000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,252000000001,252010000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,254000000001,254010000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,256000000001,256010000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,258000000001,258010000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,260000000001,260010000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,262000000001,262010000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,264000000001,264010000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,266000000001,266010000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,268000000001,268010000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,270000000001,270100000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,272000000001,272010000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,274000000001,274010000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,276000000001,276010000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,278000000001,278010000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,280000000001,280010000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,282300000001,282410000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,282420000001,282440000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
inclusive_interval,762930000001,762950000000,E1_BINARY_REPRESENTABILITY_CHECK,FORMAL_REGISTRY
