n,H8,live_projection_digest,full_mask_digest,CRT_class,confirmed_E1_E4_intersection,conservative_superset_intersection,unknown_exposure,confirmed_exact_T_intersection,possible_exact_T_intersection
184941344594,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,894986714,False,UNKNOWN,True,False,UNKNOWN
192845175914,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,894986714,False,UNKNOWN,True,False,UNKNOWN
200749007234,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,894986714,False,UNKNOWN,True,False,UNKNOWN
208652838554,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,894986714,False,UNKNOWN,True,False,UNKNOWN
216556669874,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,894986714,False,UNKNOWN,True,False,UNKNOWN
224460501194,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,894986714,False,UNKNOWN,True,False,UNKNOWN
232364332514,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,894986714,False,UNKNOWN,True,False,UNKNOWN
242526401354,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,894986714,False,UNKNOWN,True,False,UNKNOWN
184633403114,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,587045234,False,UNKNOWN,True,False,UNKNOWN
192537234434,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,587045234,False,UNKNOWN,True,False,UNKNOWN
200441065754,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,587045234,False,UNKNOWN,True,False,UNKNOWN
208344897074,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,587045234,False,UNKNOWN,True,False,UNKNOWN
216248728394,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,587045234,False,UNKNOWN,True,False,UNKNOWN
224152559714,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,587045234,False,UNKNOWN,True,False,UNKNOWN
232056391034,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,587045234,False,UNKNOWN,True,False,UNKNOWN
239960222354,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,587045234,False,UNKNOWN,True,False,UNKNOWN
184325461634,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,279103754,False,UNKNOWN,True,False,UNKNOWN
192229292954,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,279103754,False,UNKNOWN,True,False,UNKNOWN
200133124274,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,279103754,False,UNKNOWN,True,False,UNKNOWN
208036955594,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,279103754,False,UNKNOWN,True,False,UNKNOWN
215940786914,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,279103754,False,UNKNOWN,True,False,UNKNOWN
223844618234,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,279103754,False,UNKNOWN,True,False,UNKNOWN
231748449554,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,279103754,False,UNKNOWN,True,False,UNKNOWN
239652280874,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,279103754,False,UNKNOWN,True,False,UNKNOWN
184017520154,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,1100281034,False,UNKNOWN,True,False,UNKNOWN
191921351474,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,1100281034,False,UNKNOWN,True,False,UNKNOWN
199825182794,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,1100281034,False,UNKNOWN,True,False,UNKNOWN
207729014114,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,1100281034,False,UNKNOWN,True,False,UNKNOWN
215632845434,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,1100281034,False,UNKNOWN,True,False,UNKNOWN
223536676754,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,1100281034,False,UNKNOWN,True,False,UNKNOWN
231440508074,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,1100281034,False,UNKNOWN,True,False,UNKNOWN
239344339394,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,3c0e446ffa890386d5dcc8315ef75d145f9f2e68e1b512ff7d8aedb43b4ce131,1100281034,False,UNKNOWN,True,False,UNKNOWN
184008594314,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,1091355194,False,UNKNOWN,True,False,UNKNOWN
191912425634,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,1091355194,False,UNKNOWN,True,False,UNKNOWN
199816256954,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,1091355194,False,UNKNOWN,True,False,UNKNOWN
207720088274,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,1091355194,False,UNKNOWN,True,False,UNKNOWN
215623919594,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,1091355194,False,UNKNOWN,True,False,UNKNOWN
223527750914,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,1091355194,False,UNKNOWN,True,False,UNKNOWN
231431582234,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,1091355194,False,UNKNOWN,True,False,UNKNOWN
