record_id,source_id,source_artifact,source_artifact_sha256,source_commit,exposure_levels,certainty,boundary_convention,original_low,original_high,normalized_low,normalized_high,inclusive_length,overlap_handling,outcome_influenced_selection,provenance_completeness
I01,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,2,200001,2,200001,200000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I02,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,240000000001,241600000000,240000000001,241600000000,1600000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I03,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,242000000001,242010000000,242000000001,242010000000,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I04,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,244000000001,244010000000,244000000001,244010000000,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I05,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,246730000000,246739999999,246730000000,246739999999,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I06,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,248000000001,248010000000,248000000001,248010000000,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I07,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,250000000001,250100000000,250000000001,250100000000,100000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I08,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,252000000001,252010000000,252000000001,252010000000,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I09,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,254000000001,254010000000,254000000001,254010000000,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I10,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,256000000001,256010000000,256000000001,256010000000,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I11,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,258000000001,258010000000,258000000001,258010000000,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
I12,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,analysis/p5_sparse_panel_feasibility/results/prior_evaluation_registry.json,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK,CONFIRMED,closed,260000000001,260010000000,260000000001,260010000000,10000000,normalized closed union; overlaps and adjacent intervals merged once,False,COMPLETE
