coverage,tuple_count
57,44
58,209
59,891
60,4279
61,10571
62,18370
63,28006
64,39303
65,50050
66,66913
67,85316
68,92455
69,93159
70,83424
71,67903
72,55727
73,43696
74,31077
75,19919
76,16262
77,12038
78,11425
79,13049
80,13489
81,17644
82,25579
83,37606
84,57014
85,82840
86,112995
87,145902
88,190788
89,237004
90,275425
91,311105
92,343553
93,363298
94,374595
95,368441
96,360277
97,352429
98,342730
99,335717
100,333744
101,329357
102,324898
103,322305
104,317630
105,309781
106,294155
107,272937
108,249214
109,227368
110,205698
111,184278
112,162882
113,136777
114,116587
115,99008
116,83646
117,65111
118,50548
119,38007
120,27885
121,20031
122,14043
123,10775
124,7797
125,5280
126,3100
127,1692
128,1114
129,637
130,387
131,104
132,30
149,11
150,33
151,77
152,638
153,1936
154,3520
155,7007
156,8514
157,12892
158,17754
159,20669
160,25223
161,31929
162,33714
163,33333
164,32438
165,30680
166,32272
167,32700
168,33233
169,39889
170,51673
171,68352
172,86857
173,108469
174,138791
175,158905
176,169255
177,190066
178,206894
179,228721
180,244036
181,266426
182,283916
183,309886
184,326021
185,350639
186,366886
187,405721
188,432368
189,463410
190,490839
191,542728
192,585716
193,601454
194,619456
195,645621
196,663709
197,664065
198,663770
199,665811
200,669565
201,658266
202,634906
203,611055
204,577728
205,544712
206,497044
207,457902
208,405708
209,362339
210,320026
211,286709
212,250509
213,215093
214,178583
215,151823
216,134605
217,109568
218,84162
219,64923
220,50774
221,40881
222,29833
223,23010
224,21039
225,15727
226,11255
227,6753
228,3255
229,1454
230,360
231,156
