subset_mask,primes,modulus_product,bit_length,decimal_digits,maximum_coverage,argmax_count,coverage_per_modulus_bit_descriptive_rational,first_maximizing_residues,first_maximizing_crt_residue,activation_cell_point_count
1,3,9,4,1,143,1,143/4,2,2,6973568802
2,7,49,6,2,62,1,62/6,7,7,1280859576
3,3;7,441,9,3,185,1,185/9,2;7,56,142317730
4,11,121,7,3,55,5,55/7,50,50,518695201
5,3;11,1089,11,4,183,6,183/11,2;50,776,57632800
6,7;11,5929,13,4,109,8,109/13,7;50,5495,10585616
7,3;7;11,53361,16,5,219,6,219/16,2;7;50,41069,1176180
8,23,529,10,3,22,8,22/10,11,11,118642948
9,3;23,4761,13,4,159,11,159/13,2;11,11,13182550
10,7;23,25921,15,5,83,10,83/15,7;75,24409,2421285
11,3;7;23,233289,18,6,198,64,198/18,1;7;23,120106,269032
12,11;23,64009,16,5,75,45,75/16,50;37,24371,980520
13,3;11;23,576081,20,6,196,222,196/20,2;50;17,401528,108947
14,7;11;23,3136441,22,7,128,80,128/22,7;50;75,568750,20010
15,3;7;11;23,28227969,25,8,231,156,231/25,1;7;50;14,17359678,2224
