coverage,tuple_count
171,66
172,616
173,1188
174,1045
175,1958
176,3190
177,7260
178,11946
179,18403
180,21940
181,23662
182,22202
183,21262
184,15092
185,16039
186,12614
187,17909
188,21758
189,24347
190,28343
191,41320
192,51257
193,58610
194,68392
195,84749
196,95098
197,106205
198,118284
199,126455
200,132763
201,135834
202,143259
203,137404
204,132853
205,135560
206,129432
207,123746
208,117342
209,111353
210,102745
211,103888
212,94837
213,83837
214,69652
215,61890
216,54713
217,43906
218,36248
219,27985
220,24592
221,23172
222,19466
223,17082
224,17068
225,13538
226,9847
227,6481
228,3094
229,1260
230,300
231,84
