pair_index,c,d,shift,odd_winner_numerator,odd_denominator,even_winner_numerator,even_denominator,pool_winner_numerator,pool_denominator,odd_class_prevalence,even_class_prevalence,pool_class_prevalence
0,0,0,2,495,2334,499,2337,994,4671,42,42,84
1,0,1,6,0,2334,0,2337,0,4671,0,0,0
2,0,2,26,0,2334,0,2337,0,4671,0,0,0
3,0,3,126,0,2334,0,2337,0,4671,0,0,0
4,0,4,626,0,2334,0,2337,0,4671,0,0,0
5,0,5,3126,622,2334,616,2337,1238,4671,42,42,84
6,0,6,15626,0,2334,0,2337,0,4671,0,0,0
7,0,7,78126,602,2334,607,2337,1209,4671,42,42,84
8,0,8,390626,0,2334,0,2337,0,4671,0,0,0
9,0,9,1953126,0,2334,0,2337,0,4671,0,0,0
10,0,10,9765626,0,2334,0,2337,0,4671,0,0,0
11,0,11,48828126,0,2334,0,2337,0,4671,0,0,0
12,0,12,244140626,493,2334,494,2337,987,4671,42,42,84
13,0,13,1220703126,602,2334,609,2337,1211,4671,42,42,84
14,0,14,6103515626,0,2334,0,2337,0,4671,0,0,0
15,0,15,30517578126,0,2334,0,2337,0,4671,0,0,0
16,0,16,152587890626,0,2334,0,2337,0,4671,0,0,0
17,1,0,4,0,2334,0,2337,0,4671,0,0,0
18,1,1,8,0,2334,0,2337,0,4671,0,0,0
19,1,2,28,0,2334,0,2337,0,4671,0,0,0
20,1,3,128,954,2334,937,2337,1891,4671,42,42,84
21,1,4,628,0,2334,0,2337,0,4671,0,0,0
22,1,5,3128,0,2334,0,2337,0,4671,0,0,0
23,1,6,15628,0,2334,0,2337,0,4671,0,0,0
24,1,7,78128,0,2334,0,2337,0,4671,0,0,0
25,1,8,390628,0,2334,0,2337,0,4671,0,0,0
26,1,9,1953128,952,2334,917,2337,1869,4671,42,42,84
27,1,10,9765628,0,2334,0,2337,0,4671,0,0,0
28,1,11,48828128,0,2334,0,2337,0,4671,0,0,0
29,1,12,244140628,0,2334,0,2337,0,4671,0,0,0
30,1,13,1220703128,0,2334,0,2337,0,4671,0,0,0
31,1,14,6103515628,0,2334,0,2337,0,4671,0,0,0
32,1,15,30517578128,919,2334,961,2337,1880,4671,42,42,84
33,1,16,152587890628,0,2334,0,2337,0,4671,0,0,0
34,2,0,10,624,2334,618,2337,1242,4671,42,42,84
35,2,1,14,0,2334,0,2337,0,4671,0,0,0
36,2,2,34,671,2334,648,2337,1319,4671,42,42,84
37,2,3,134,0,2334,0,2337,0,4671,0,0,0
38,2,4,634,643,2334,663,2337,1306,4671,42,42,84
39,2,5,3134,484,2334,500,2337,984,4671,42,42,84
40,2,6,15634,0,2334,0,2337,0,4671,0,0,0
41,2,7,78134,0,2334,0,2337,0,4671,0,0,0
42,2,8,390634,651,2334,644,2337,1295,4671,42,42,84
43,2,9,1953134,0,2334,0,2337,0,4671,0,0,0
44,2,10,9765634,651,2334,666,2337,1317,4671,42,42,84
45,2,11,48828134,508,2334,490,2337,998,4671,42,42,84
46,2,12,244140634,643,2334,649,2337,1292,4671,42,42,84
47,2,13,1220703134,0,2334,0,2337,0,4671,0,0,0
48,2,14,6103515634,648,2334,648,2337,1296,4671,42,42,84
49,2,15,30517578134,0,2334,0,2337,0,4671,0,0,0
50,2,16,152587890634,647,2334,677,2337,1324,4671,42,42,84
51,3,0,28,0,2334,0,2337,0,4671,0,0,0
52,3,1,32,0,2334,0,2337,0,4671,0,0,0
53,3,2,52,0,2334,0,2337,0,4671,0,0,0
54,3,3,152,0,2334,0,2337,0,4671,0,0,0
55,3,4,652,0,2334,0,2337,0,4671,0,0,0
56,3,5,3152,0,2334,0,2337,0,4671,0,0,0
57,3,6,15652,0,2334,0,2337,0,4671,0,0,0
58,3,7,78152,0,2334,0,2337,0,4671,0,0,0
59,3,8,390652,0,2334,0,2337,0,4671,0,0,0
60,3,9,1953152,0,2334,0,2337,0,4671,0,0,0
61,3,10,9765652,0,2334,0,2337,0,4671,0,0,0
62,3,11,48828152,955,2334,956,2337,1911,4671,42,42,84
63,3,12,244140652,0,2334,0,2337,0,4671,0,0,0
64,3,13,1220703152,0,2334,0,2337,0,4671,0,0,0
65,3,14,6103515652,0,2334,0,2337,0,4671,0,0,0
66,3,15,30517578152,0,2334,0,2337,0,4671,0,0,0
67,3,16,152587890652,0,2334,0,2337,0,4671,0,0,0
68,4,0,82,621,2334,622,2337,1243,4671,42,42,84
69,4,1,86,0,2334,0,2337,0,4671,0,0,0
70,4,2,106,596,2334,629,2337,1225,4671,42,42,84
71,4,3,206,0,2334,0,2337,0,4671,0,0,0
72,4,4,706,611,2334,607,2337,1218,4671,42,42,84
73,4,5,3206,0,2334,0,2337,0,4671,0,0,0
74,4,6,15706,631,2334,611,2337,1242,4671,42,42,84
75,4,7,78206,0,2334,0,2337,0,4671,0,0,0
76,4,8,390706,619,2334,616,2337,1235,4671,42,42,84
77,4,9,1953206,0,2334,0,2337,0,4671,0,0,0
78,4,10,9765706,638,2334,618,2337,1256,4671,42,42,84
79,4,11,48828206,0,2334,0,2337,0,4671,0,0,0
80,4,12,244140706,625,2334,627,2337,1252,4671,42,42,84
81,4,13,1220703206,0,2334,0,2337,0,4671,0,0,0
82,4,14,6103515706,607,2334,634,2337,1241,4671,42,42,84
83,4,15,30517578206,0,2334,0,2337,0,4671,0,0,0
84,4,16,152587890706,646,2334,658,2337,1304,4671,42,42,84
85,5,0,244,0,2334,0,2337,0,4671,0,0,0
86,5,1,248,0,2334,0,2337,0,4671,0,0,0
87,5,2,268,0,2334,0,2337,0,4671,0,0,0
88,5,3,368,0,2334,0,2337,0,4671,0,0,0
89,5,4,868,0,2334,0,2337,0,4671,0,0,0
90,5,5,3368,931,2334,926,2337,1857,4671,42,42,84
91,5,6,15868,0,2334,0,2337,0,4671,0,0,0
92,5,7,78368,0,2334,0,2337,0,4671,0,0,0
93,5,8,390868,0,2334,0,2337,0,4671,0,0,0
94,5,9,1953368,0,2334,0,2337,0,4671,0,0,0
95,5,10,9765868,0,2334,0,2337,0,4671,0,0,0
96,5,11,48828368,0,2334,0,2337,0,4671,0,0,0
97,5,12,244140868,0,2334,0,2337,0,4671,0,0,0
98,5,13,1220703368,0,2334,0,2337,0,4671,0,0,0
99,5,14,6103515868,0,2334,0,2337,0,4671,0,0,0
100,5,15,30517578368,0,2334,0,2337,0,4671,0,0,0
101,5,16,152587890868,0,2334,0,2337,0,4671,0,0,0
102,6,0,730,0,2334,0,2337,0,4671,0,0,0
103,6,1,734,0,2334,0,2337,0,4671,0,0,0
104,6,2,754,0,2334,0,2337,0,4671,0,0,0
105,6,3,854,0,2334,0,2337,0,4671,0,0,0
106,6,4,1354,651,2334,627,2337,1278,4671,42,42,84
107,6,5,3854,509,2334,485,2337,994,4671,42,42,84
108,6,6,16354,666,2334,648,2337,1314,4671,42,42,84
109,6,7,78854,0,2334,0,2337,0,4671,0,0,0
110,6,8,391354,654,2334,669,2337,1323,4671,42,42,84
111,6,9,1953854,0,2334,0,2337,0,4671,0,0,0
112,6,10,9766354,647,2334,629,2337,1276,4671,42,42,84
113,6,11,48828854,513,2334,495,2337,1008,4671,42,42,84
114,6,12,244141354,0,2334,0,2337,0,4671,0,0,0
115,6,13,1220703854,0,2334,0,2337,0,4671,0,0,0
116,6,14,6103516354,666,2334,653,2337,1319,4671,42,42,84
117,6,15,30517578854,0,2334,0,2337,0,4671,0,0,0
118,6,16,152587891354,666,2334,677,2337,1343,4671,42,42,84
119,7,0,2188,0,2334,0,2337,0,4671,0,0,0
120,7,1,2192,0,2334,0,2337,0,4671,0,0,0
121,7,2,2212,0,2334,0,2337,0,4671,0,0,0
122,7,3,2312,0,2334,0,2337,0,4671,0,0,0
123,7,4,2812,0,2334,0,2337,0,4671,0,0,0
124,7,5,5312,948,2334,924,2337,1872,4671,42,42,84
125,7,6,17812,0,2334,0,2337,0,4671,0,0,0
126,7,7,80312,0,2334,0,2337,0,4671,0,0,0
127,7,8,392812,0,2334,0,2337,0,4671,0,0,0
128,7,9,1955312,0,2334,0,2337,0,4671,0,0,0
129,7,10,9767812,0,2334,0,2337,0,4671,0,0,0
130,7,11,48830312,960,2334,936,2337,1896,4671,42,42,84
131,7,12,244142812,0,2334,0,2337,0,4671,0,0,0
132,7,13,1220705312,0,2334,0,2337,0,4671,0,0,0
133,7,14,6103517812,0,2334,0,2337,0,4671,0,0,0
134,7,15,30517580312,0,2334,0,2337,0,4671,0,0,0
135,7,16,152587892812,0,2334,0,2337,0,4671,0,0,0
136,8,0,6562,0,2334,0,2337,0,4671,0,0,0
137,8,1,6566,0,2334,0,2337,0,4671,0,0,0
138,8,2,6586,614,2334,661,2337,1275,4671,42,42,84
139,8,3,6686,0,2334,0,2337,0,4671,0,0,0
140,8,4,7186,618,2334,648,2337,1266,4671,42,42,84
141,8,5,9686,0,2334,0,2337,0,4671,0,0,0
142,8,6,22186,642,2334,625,2337,1267,4671,42,42,84
143,8,7,84686,0,2334,0,2337,0,4671,0,0,0
144,8,8,397186,602,2334,652,2337,1254,4671,42,42,84
145,8,9,1959686,0,2334,0,2337,0,4671,0,0,0
146,8,10,9772186,0,2334,0,2337,0,4671,0,0,0
147,8,11,48834686,486,2334,471,2337,957,4671,42,42,84
148,8,12,244147186,613,2334,597,2337,1210,4671,42,42,84
149,8,13,1220709686,0,2334,0,2337,0,4671,0,0,0
150,8,14,6103522186,609,2334,637,2337,1246,4671,42,42,84
151,8,15,30517584686,0,2334,0,2337,0,4671,0,0,0
152,8,16,152587897186,656,2334,616,2337,1272,4671,42,42,84
153,9,0,19684,0,2334,0,2337,0,4671,0,0,0
154,9,1,19688,0,2334,0,2337,0,4671,0,0,0
155,9,2,19708,0,2334,0,2337,0,4671,0,0,0
156,9,3,19808,0,2334,0,2337,0,4671,0,0,0
157,9,4,20308,0,2334,0,2337,0,4671,0,0,0
158,9,5,22808,962,2334,921,2337,1883,4671,42,42,84
159,9,6,35308,0,2334,0,2337,0,4671,0,0,0
160,9,7,97808,0,2334,0,2337,0,4671,0,0,0
161,9,8,410308,0,2334,0,2337,0,4671,0,0,0
162,9,9,1972808,0,2334,0,2337,0,4671,0,0,0
163,9,10,9785308,0,2334,0,2337,0,4671,0,0,0
164,9,11,48847808,0,2334,0,2337,0,4671,0,0,0
165,9,12,244160308,0,2334,0,2337,0,4671,0,0,0
166,9,13,1220722808,0,2334,0,2337,0,4671,0,0,0
167,9,14,6103535308,0,2334,0,2337,0,4671,0,0,0
168,9,15,30517597808,0,2334,0,2337,0,4671,0,0,0
169,9,16,152587910308,0,2334,0,2337,0,4671,0,0,0
170,10,0,59050,615,2334,609,2337,1224,4671,42,42,84
171,10,1,59054,0,2334,0,2337,0,4671,0,0,0
172,10,2,59074,652,2334,642,2337,1294,4671,42,42,84
173,10,3,59174,0,2334,0,2337,0,4671,0,0,0
