point_ordinal,mask_index,class_index,point_index,n,T,mask_sha256
0,0,0,0,183992793914,26,d5f3037e87e83bf27928c101d050d58ccd326cbead4d38b85c30c7584c3820b2
1,1,1,0,184162384874,29,8b1b4701eab4c461f6fccf07503f6f5103968b095b08a6cbbfe2e4ee8fa2efe9
2,2,2,0,184686575114,31,8bbde6ea97a610818d7d66dd363136cc584d78efe8a8964329a400e0021d370f
3,3,3,0,184840748714,27,b26756d314f1b195b6bfb88ff8db914fd5fac0ded379d1f3f322d0e2e78103b1
4,4,4,0,184940961554,36,ecba6f0060327786d29a01388520576e140c190e9c4432c1b751a4f80d82a5c8
5,5,5,0,185025757034,33,8badd7c175cfe407c440600479da2584a19f3fd30186df9e8d45070f63d108e0
6,6,6,0,185091359474,31,d2f56ab9b69b84bc7b6980869bf0d94bbc57172fd22c59f477b6a94c3e561c8e
7,7,7,0,185264726114,21,188b4fe30a0fd5dea1308bb1961f94c032a93c46bb3d31b357eb490047c38059
8,8,8,0,185453695954,62,6a087ca56b6a019609692f1e0f2a4749f014d1fbc5bbc1d9bded98f4b1be6bf3
9,9,9,0,185619325394,29,b4bdeb45ff7f4f89531687afd08c70af50017eafec3923cb7bc706bb8f38fe1f
10,10,10,0,185773498994,22,505ef5d26d878c46b666b90b6ad8f165746c201dd59ee64e3b0f96cc72c7b65e
11,11,11,0,185797340794,41,6c5049c435d87a8c0b4065300c7cead344a3d73602770de02d029256f06debd8
12,12,12,0,185846432914,59,a229b9201ab93aeb2dfa0d3bdeb3692196a90a4400ee47159b3ad591e32dd2c5
13,13,13,0,185854518794,35,be59216e4b3cfcb94b41ebdb79af86ce792673da6aeaba12dbbab88d42ac132f
14,14,14,0,185858294474,29,26321d59add0a4a674b00c145e522b22d58067f01388196be4fc7830efc1c9a9
15,15,15,0,186024109754,35,58e97a74b21cc1a5803aff0f10cdde353afe6a70038d8663f1eae47b73af9683
16,16,16,0,186128098274,32,b3e1c33d0bcc7ce828c840bf941ed9dd122bce7f8f3300d8e22d08eb1b6f623a
17,17,17,0,186197476394,33,e5c90f30326cd31cf559531a7876a2890957314b8241110cc9324c2b0e5f160e
