n,T,n_minus_n0,T_minus_T_n0
240000005494,38,-100,22
240000005495,45,-99,29
240000005496,85,-98,69
240000005497,51,-97,35
240000005498,44,-96,28
240000005499,84,-95,68
240000005500,33,-94,17
240000005501,57,-93,41
240000005502,88,-92,72
240000005503,60,-91,44
240000005504,23,-90,7
240000005505,86,-89,70
240000005506,65,-88,49
240000005507,50,-87,34
240000005508,79,-86,63
240000005509,54,-85,38
240000005510,64,-84,48
240000005511,77,-83,61
240000005512,74,-82,58
240000005513,54,-81,38
240000005514,75,-80,59
240000005515,40,-79,24
240000005516,71,-78,55
240000005517,85,-77,69
240000005518,29,-76,13
240000005519,50,-75,34
240000005520,91,-74,75
240000005521,53,-73,37
240000005522,41,-72,25
240000005523,75,-71,59
240000005524,43,-70,27
240000005525,39,-69,23
240000005526,87,-68,71
240000005527,50,-67,34
240000005528,36,-66,20
240000005529,72,-65,56
240000005530,62,-64,46
240000005531,50,-63,34
240000005532,88,-62,72
240000005533,37,-61,21
240000005534,67,-60,51
240000005535,74,-59,58
240000005536,63,-58,47
240000005537,60,-57,44
240000005538,69,-56,53
240000005539,32,-55,16
240000005540,67,-54,51
240000005541,61,-53,45
240000005542,38,-52,22
240000005543,46,-51,30
240000005544,75,-50,59
240000005545,54,-49,38
240000005546,44,-48,28
240000005547,78,-47,62
240000005548,29,-46,13
240000005549,50,-45,34
240000005550,89,-44,73
240000005551,62,-43,46
240000005552,47,-42,31
240000005553,89,-41,73
240000005554,61,-40,45
240000005555,49,-39,33
240000005556,71,-38,55
240000005557,43,-37,27
240000005558,58,-36,42
240000005559,66,-35,50
240000005560,59,-34,43
240000005561,51,-33,35
240000005562,80,-32,64
240000005563,51,-31,35
240000005564,72,-30,56
240000005565,72,-29,56
240000005566,30,-28,14
240000005567,54,-27,38
240000005568,69,-26,53
240000005569,54,-25,38
240000005570,29,-24,13
240000005571,80,-23,64
240000005572,32,-22,16
240000005573,58,-21,42
240000005574,70,-20,54
240000005575,54,-19,38
240000005576,33,-18,17
240000005577,82,-17,66
240000005578,66,-16,50
240000005579,51,-15,35
240000005580,77,-14,61
240000005581,54,-13,38
240000005582,71,-12,55
240000005583,78,-11,62
240000005584,65,-10,49
240000005585,48,-9,32
240000005586,85,-8,69
240000005587,51,-7,35
240000005588,72,-6,56
240000005589,79,-5,63
240000005590,41,-4,25
240000005591,45,-3,29
240000005592,58,-2,42
240000005593,48,-1,32
240000005594,16,0,0
240000005595,79,1,63
240000005596,34,2,18
240000005597,55,3,39
240000005598,70,4,54
240000005599,60,5,44
240000005600,41,6,25
240000005601,82,7,66
240000005602,70,8,54
240000005603,51,9,35
240000005604,80,10,64
240000005605,54,11,38
240000005606,79,12,63
240000005607,69,13,53
240000005608,79,14,63
240000005609,47,15,31
240000005610,69,16,53
240000005611,48,17,32
240000005612,69,18,53
240000005613,76,19,60
240000005614,40,20,24
240000005615,60,21,44
240000005616,71,22,55
240000005617,51,23,35
240000005618,26,24,10
240000005619,74,25,58
240000005620,32,26,16
240000005621,48,27,32
240000005622,83,28,67
240000005623,45,29,29
240000005624,36,30,20
240000005625,73,31,57
240000005626,62,32,46
240000005627,63,33,47
240000005628,77,34,61
240000005629,51,35,35
240000005630,58,36,42
240000005631,87,37,71
240000005632,61,38,45
240000005633,51,39,35
240000005634,70,40,54
240000005635,56,41,40
240000005636,65,42,49
240000005637,83,43,67
240000005638,36,44,20
240000005639,64,45,48
240000005640,81,46,65
240000005641,53,47,37
240000005642,41,48,25
240000005643,65,49,49
240000005644,38,50,22
240000005645,48,51,32
240000005646,87,52,71
240000005647,46,53,30
240000005648,28,54,12
240000005649,83,55,67
240000005650,60,56,44
240000005651,55,57,39
240000005652,85,58,69
240000005653,54,59,38
240000005654,63,60,47
240000005655,79,61,63
240000005656,60,62,44
240000005657,59,63,43
240000005658,79,64,63
240000005659,54,65,38
240000005660,68,66,52
240000005661,89,67,73
240000005662,38,68,22
240000005663,59,69,43
240000005664,68,70,52
240000005665,48,71,32
240000005666,34,72,18
240000005667,73,73,57
240000005668,34,74,18
240000005669,49,75,33
240000005670,87,76,71
240000005671,42,77,26
240000005672,37,78,21
240000005673,70,79,54
240000005674,68,80,52
240000005675,47,81,31
240000005676,76,82,60
240000005677,47,83,31
240000005678,79,84,63
240000005679,78,85,62
240000005680,58,86,42
240000005681,48,87,32
240000005682,77,88,61
240000005683,62,89,46
240000005684,63,90,47
240000005685,100,91,84
240000005686,37,92,21
240000005687,62,93,46
240000005688,76,94,60
240000005689,48,95,32
240000005690,36,96,20
240000005691,76,97,60
240000005692,36,98,20
240000005693,34,99,18
240000005694,94,100,78
