block_index,start_n,end_exclusive,minimum_T,argmin_count,argmin_n
0,240000000001,240000001001,20,1,240000000968
1,240000001001,240000002001,21,1,240000001544
2,240000002001,240000003001,24,1,240000002570
3,240000003001,240000004001,23,1,240000003506
4,240000004001,240000005001,18,1,240000004802
5,240000005001,240000006001,16,1,240000005594
6,240000006001,240000007001,21,2,240000006094;240000006098
7,240000007001,240000008001,24,1,240000007610
8,240000008001,240000009001,25,1,240000008672
9,240000009001,240000010001,20,1,240000009536
10,240000010001,240000011001,21,2,240000010612;240000010634
11,240000011001,240000012001,22,1,240000011642
12,240000012001,240000013001,24,1,240000012632
13,240000013001,240000014001,25,1,240000013802
14,240000014001,240000015001,20,1,240000014576
15,240000015001,240000016001,21,1,240000015934
16,240000016001,240000017001,24,1,240000016610
17,240000017001,240000018001,23,2,240000017432;240000017978
18,240000018001,240000019001,22,2,240000018122;240000018770
19,240000019001,240000020001,21,1,240000019544
20,240000020001,240000021001,24,1,240000020354
21,240000021001,240000022001,22,1,240000021632
22,240000022001,240000023001,26,2,240000022204;240000022946
23,240000023001,240000024001,23,1,240000023144
24,240000024001,240000025001,24,1,240000024152
25,240000025001,240000026001,25,2,240000025250;240000025970
26,240000026001,240000027001,23,1,240000026672
27,240000027001,240000028001,26,1,240000027358
28,240000028001,240000029001,20,1,240000028184
29,240000029001,240000030001,24,1,240000029528
30,240000030001,240000031001,21,1,240000030704
31,240000031001,240000032001,22,1,240000031558
32,240000032001,240000033001,21,1,240000032062
33,240000033001,240000034001,25,2,240000033026;240000033368
34,240000034001,240000035001,22,1,240000034826
35,240000035001,240000036001,23,1,240000035926
36,240000036001,240000037001,24,1,240000036722
37,240000037001,240000038001,22,1,240000037606
38,240000038001,240000039001,25,1,240000038614
39,240000039001,240000040001,23,1,240000039938
40,240000040001,240000041001,24,1,240000040462
41,240000041001,240000042001,25,1,240000041960
42,240000042001,240000043001,24,1,240000042962
43,240000043001,240000044001,21,3,240000043034;240000043150;240000043898
44,240000044001,240000045001,19,1,240000044158
45,240000045001,240000046001,21,1,240000045166
46,240000046001,240000047001,22,1,240000046174
47,240000047001,240000048001,19,1,240000047182
48,240000048001,240000049001,21,1,240000048862
49,240000049001,240000050001,24,1,240000049856
50,240000050001,240000051001,21,1,240000050360
51,240000051001,240000052001,25,1,240000051818
52,240000052001,240000053001,23,1,240000052054
53,240000053001,240000054001,21,2,240000053186;240000053618
54,240000054001,240000055001,21,1,240000054986
55,240000055001,240000056001,25,1,240000055490
56,240000056001,240000057001,23,1,240000056786
57,240000057001,240000058001,24,1,240000057434
58,240000058001,240000059001,26,3,240000058082;240000058154;240000058876
59,240000059001,240000060001,20,1,240000059950
60,240000060001,240000061001,24,2,240000060746;240000060790
61,240000061001,240000062001,25,3,240000061270;240000061534;240000061798
62,240000062001,240000063001,22,1,240000062618
63,240000063001,240000064001,22,1,240000063968
64,240000064001,240000065001,22,1,240000064400
65,240000065001,240000066001,23,1,240000065210
66,240000066001,240000067001,24,1,240000066992
67,240000067001,240000068001,22,1,240000067342
68,240000068001,240000069001,23,2,240000068336;240000068450
69,240000069001,240000070001,23,2,240000069074;240000069962
70,240000070001,240000071001,23,1,240000070610
71,240000071001,240000072001,23,1,240000071690
72,240000072001,240000073001,19,1,240000072194
73,240000073001,240000074001,21,2,240000073544;240000073726
74,240000074001,240000075001,23,1,240000074624
75,240000075001,240000076001,23,1,240000075650
76,240000076001,240000077001,19,1,240000076568
77,240000077001,240000078001,26,3,240000077576;240000077738;240000077912
78,240000078001,240000079001,24,2,240000078170;240000078746
79,240000079001,240000080001,24,1,240000079928
80,240000080001,240000081001,24,1,240000080600
81,240000081001,240000082001,21,1,240000081122
82,240000082001,240000083001,22,1,240000082706
83,240000083001,240000084001,22,1,240000083570
84,240000084001,240000085001,23,1,240000084194
85,240000085001,240000086001,21,1,240000085298
86,240000086001,240000087001,24,1,240000086648
87,240000087001,240000088001,24,1,240000087098
88,240000088001,240000089001,26,1,240000088708
89,240000089001,240000090001,24,1,240000089686
90,240000090001,240000091001,22,1,240000090986
91,240000091001,240000092001,25,1,240000091832
92,240000092001,240000093001,25,1,240000092282
93,240000093001,240000094001,19,1,240000093046
94,240000094001,240000095001,23,1,240000094990
95,240000095001,240000096001,23,1,240000095018
96,240000096001,240000097001,26,5,240000096148;240000096224;240000096314;240000096574;240000096962
97,240000097001,240000098001,23,1,240000097582
98,240000098001,240000099001,18,2,240000098254;240000098744
99,240000099001,240000100001,23,2,240000099430;240000099598
