interval_id,direction,sequence_index,n,T,previous_record_T
PILOT-A,left_to_right,0,2,1,
PILOT-A,right_to_left,0,200001,24,
PILOT-A,right_to_left,1,200000,18,24
PILOT-A,right_to_left,2,199997,16,18
PILOT-A,right_to_left,3,199996,15,16
PILOT-A,right_to_left,4,199990,14,15
PILOT-A,right_to_left,5,199975,12,14
PILOT-A,right_to_left,6,199970,10,12
PILOT-A,right_to_left,7,199898,8,10
PILOT-A,right_to_left,8,199442,7,8
PILOT-A,right_to_left,9,198886,6,7
PILOT-A,right_to_left,10,196850,5,6
PILOT-A,right_to_left,11,188018,3,5
PILOT-A,right_to_left,12,560,2,3
PILOT-A,right_to_left,13,25,1,2
PILOT-B,left_to_right,0,240000000001,52,
PILOT-B,left_to_right,1,240000000002,37,52
PILOT-B,left_to_right,2,240000000004,29,37
PILOT-B,left_to_right,3,240000000104,25,29
PILOT-B,left_to_right,4,240000000194,23,25
PILOT-B,left_to_right,5,240000000968,20,23
PILOT-B,left_to_right,6,240000004802,18,20
PILOT-B,left_to_right,7,240000005594,16,18
PILOT-B,right_to_left,0,240000100000,65,
PILOT-B,right_to_left,1,240000099998,62,65
PILOT-B,right_to_left,2,240000099997,50,62
PILOT-B,right_to_left,3,240000099992,46,50
PILOT-B,right_to_left,4,240000099988,42,46
PILOT-B,right_to_left,5,240000099986,37,42
PILOT-B,right_to_left,6,240000099964,34,37
PILOT-B,right_to_left,7,240000099934,29,34
PILOT-B,right_to_left,8,240000099842,26,29
PILOT-B,right_to_left,9,240000099598,23,26
PILOT-B,right_to_left,10,240000098744,18,23
PILOT-B,right_to_left,11,240000005594,16,18
