interval_id,dimension,c,d,value,frequency,first_n,last_n
PILOT-A,c,0,,0,31,2,108862
PILOT-A,c,1,,1,48,4,188018
PILOT-A,c,2,,2,11,11,2018
PILOT-A,c,3,,3,27,29,13501
PILOT-A,c,4,,4,11,310,108862
PILOT-A,c,5,,5,11,436,13501
PILOT-A,c,6,,6,7,1370,188018
PILOT-A,c,7,,7,4,3920,64204
PILOT-A,c,8,,8,1,33670,33670
PILOT-A,c,10,,10,1,76562,76562
PILOT-A,d,,0,0,41,2,6454
PILOT-A,d,,1,1,54,6,188018
PILOT-A,d,,2,2,19,29,76562
PILOT-A,d,,3,3,17,193,76562
PILOT-A,d,,4,4,9,1370,188018
PILOT-A,d,,5,5,7,3920,108862
PILOT-A,d,,6,6,4,33670,188018
PILOT-A,d,,7,7,1,108862,108862
PILOT-A,exponent_pair,0,0,"0,0",10,2,6454
PILOT-A,exponent_pair,0,1,"0,1",10,6,623
PILOT-A,exponent_pair,0,2,"0,2",3,382,64204
PILOT-A,exponent_pair,0,3,"0,3",2,382,76562
PILOT-A,exponent_pair,0,4,"0,4",1,3028,3028
PILOT-A,exponent_pair,0,5,"0,5",3,3920,108862
PILOT-A,exponent_pair,0,6,"0,6",1,50110,50110
PILOT-A,exponent_pair,0,7,"0,7",1,108862,108862
PILOT-A,exponent_pair,1,0,"1,0",16,4,545
PILOT-A,exponent_pair,1,1,"1,1",20,8,188018
PILOT-A,exponent_pair,1,2,"1,2",3,29,221
PILOT-A,exponent_pair,1,3,"1,3",7,193,3028
PILOT-A,exponent_pair,1,4,"1,4",1,50110,50110
PILOT-A,exponent_pair,1,5,"1,5",1,64204,64204
PILOT-A,exponent_pair,2,0,"2,0",7,11,1918
PILOT-A,exponent_pair,2,1,"2,1",3,16,310
PILOT-A,exponent_pair,2,4,"2,4",1,2018,2018
PILOT-A,exponent_pair,3,0,"3,0",3,29,221
PILOT-A,exponent_pair,3,1,"3,1",11,49,13501
PILOT-A,exponent_pair,3,2,"3,2",6,56,1825
PILOT-A,exponent_pair,3,3,"3,3",4,193,1705
PILOT-A,exponent_pair,3,4,"3,4",2,1568,1705
PILOT-A,exponent_pair,3,5,"3,5",1,9913,9913
PILOT-A,exponent_pair,4,0,"4,0",3,506,2018
PILOT-A,exponent_pair,4,1,"4,1",4,382,108862
PILOT-A,exponent_pair,4,2,"4,2",2,335,506
PILOT-A,exponent_pair,4,3,"4,3",1,310,310
PILOT-A,exponent_pair,4,4,"4,4",1,2018,2018
PILOT-A,exponent_pair,5,1,"5,1",5,865,13501
PILOT-A,exponent_pair,5,2,"5,2",4,545,1825
PILOT-A,exponent_pair,5,3,"5,3",1,436,436
PILOT-A,exponent_pair,5,5,"5,5",1,13501,13501
PILOT-A,exponent_pair,6,0,"6,0",1,1370,1370
PILOT-A,exponent_pair,6,1,"6,1",1,1918,1918
PILOT-A,exponent_pair,6,4,"6,4",2,1370,188018
PILOT-A,exponent_pair,6,5,"6,5",1,6454,6454
PILOT-A,exponent_pair,6,6,"6,6",2,33670,188018
PILOT-A,exponent_pair,7,0,"7,0",1,3920,3920
PILOT-A,exponent_pair,7,3,"7,3",1,64204,64204
PILOT-A,exponent_pair,7,4,"7,4",1,3920,3920
PILOT-A,exponent_pair,7,6,"7,6",1,33670,33670
PILOT-A,exponent_pair,8,3,"8,3",1,33670,33670
PILOT-A,exponent_pair,10,2,"10,2",1,76562,76562
PILOT-A,remainder,,,0,4,2,8
PILOT-A,remainder,,,1,7,3,29
PILOT-A,remainder,,,2,4,4,16
PILOT-A,remainder,,,4,3,6,56
PILOT-A,remainder,,,5,4,7,13
PILOT-A,remainder,,,8,1,16,16
PILOT-A,remainder,,,9,5,11,61
PILOT-A,remainder,,,10,2,16,20
PILOT-A,remainder,,,13,3,17,23
PILOT-A,remainder,,,16,2,20,1370
PILOT-A,remainder,,,17,4,21,49
PILOT-A,remainder,,,18,1,20,20
PILOT-A,remainder,,,25,1,29,29
PILOT-A,remainder,,,29,1,61,61
PILOT-A,remainder,,,41,2,49,193
PILOT-A,remainder,,,45,2,49,97
