interval_id,shift,frequency,distinct_exponent_pair_count,exponent_pairs,first_n,last_n
PILOT-A,2,10,1,0:0,2,6454
PILOT-A,4,16,1,1:0,4,545
PILOT-A,6,10,1,0:1,6,623
PILOT-A,8,20,1,1:1,8,188018
PILOT-A,10,7,1,2:0,11,1918
PILOT-A,14,3,1,2:1,16,310
PILOT-A,26,3,1,0:2,382,64204
PILOT-A,28,6,2,1:2;3:0,29,221
PILOT-A,32,11,1,3:1,49,13501
PILOT-A,52,6,1,3:2,56,1825
PILOT-A,82,3,1,4:0,506,2018
PILOT-A,86,4,1,4:1,382,108862
PILOT-A,106,2,1,4:2,335,506
PILOT-A,126,2,1,0:3,382,76562
PILOT-A,128,7,1,1:3,193,3028
PILOT-A,152,4,1,3:3,193,1705
PILOT-A,206,1,1,4:3,310,310
PILOT-A,248,5,1,5:1,865,13501
PILOT-A,268,4,1,5:2,545,1825
PILOT-A,368,1,1,5:3,436,436
PILOT-A,626,1,1,0:4,3028,3028
PILOT-A,628,1,1,1:4,50110,50110
PILOT-A,634,1,1,2:4,2018,2018
PILOT-A,652,2,1,3:4,1568,1705
PILOT-A,706,1,1,4:4,2018,2018
PILOT-A,730,1,1,6:0,1370,1370
PILOT-A,734,1,1,6:1,1918,1918
PILOT-A,1354,2,1,6:4,1370,188018
PILOT-A,2188,1,1,7:0,3920,3920
PILOT-A,2312,1,1,7:3,64204,64204
PILOT-A,2812,1,1,7:4,3920,3920
PILOT-A,3126,3,1,0:5,3920,108862
PILOT-A,3128,1,1,1:5,64204,64204
PILOT-A,3152,1,1,3:5,9913,9913
PILOT-A,3368,1,1,5:5,13501,13501
PILOT-A,3854,1,1,6:5,6454,6454
PILOT-A,6686,1,1,8:3,33670,33670
PILOT-A,15626,1,1,0:6,50110,50110
PILOT-A,16354,2,1,6:6,33670,188018
PILOT-A,17812,1,1,7:6,33670,33670
PILOT-A,59074,1,1,10:2,76562,76562
PILOT-A,78126,1,1,0:7,108862,108862
PILOT-B,1354,1,1,6:4,240000005594,240000005594
PILOT-B,3206,1,1,4:5,240000005594,240000005594
PILOT-B,15626,1,1,0:6,240000005594,240000005594
PILOT-B,531466,1,1,12:2,240000005594,240000005594
PILOT-B,9772186,1,1,8:10,240000005594,240000005594
PILOT-B,14352032,1,1,15:5,240000005594,240000005594
PILOT-B,14548594,1,1,14:10,240000005594,240000005594
PILOT-B,43046746,1,1,16:2,240000005594,240000005594
PILOT-B,287187346,1,1,16:12,240000005594,240000005594
PILOT-B,387421114,1,1,18:4,240000005594,240000005594
PILOT-B,387436114,1,1,18:6,240000005594,240000005594
PILOT-B,3486800026,1,1,20:6,240000005594,240000005594
PILOT-B,6103515706,1,1,4:14,240000005594,240000005594
PILOT-B,10460356328,1,1,21:5,240000005594,240000005594
PILOT-B,30517578128,1,1,1:15,240000005594,240000005594
PILOT-B,152592673594,1,1,14:16,240000005594,240000005594
COMBINED,2,10,1,0:0,2,6454
COMBINED,4,16,1,1:0,4,545
COMBINED,6,10,1,0:1,6,623
COMBINED,8,20,1,1:1,8,188018
COMBINED,10,7,1,2:0,11,1918
COMBINED,14,3,1,2:1,16,310
COMBINED,26,3,1,0:2,382,64204
COMBINED,28,6,2,1:2;3:0,29,221
COMBINED,32,11,1,3:1,49,13501
COMBINED,52,6,1,3:2,56,1825
COMBINED,82,3,1,4:0,506,2018
COMBINED,86,4,1,4:1,382,108862
COMBINED,106,2,1,4:2,335,506
COMBINED,126,2,1,0:3,382,76562
COMBINED,128,7,1,1:3,193,3028
COMBINED,152,4,1,3:3,193,1705
COMBINED,206,1,1,4:3,310,310
COMBINED,248,5,1,5:1,865,13501
COMBINED,268,4,1,5:2,545,1825
COMBINED,368,1,1,5:3,436,436
COMBINED,626,1,1,0:4,3028,3028
COMBINED,628,1,1,1:4,50110,50110
COMBINED,634,1,1,2:4,2018,2018
COMBINED,652,2,1,3:4,1568,1705
COMBINED,706,1,1,4:4,2018,2018
COMBINED,730,1,1,6:0,1370,1370
COMBINED,734,1,1,6:1,1918,1918
COMBINED,1354,3,1,6:4,1370,240000005594
COMBINED,2188,1,1,7:0,3920,3920
COMBINED,2312,1,1,7:3,64204,64204
COMBINED,2812,1,1,7:4,3920,3920
COMBINED,3126,3,1,0:5,3920,108862
COMBINED,3128,1,1,1:5,64204,64204
COMBINED,3152,1,1,3:5,9913,9913
COMBINED,3206,1,1,4:5,240000005594,240000005594
COMBINED,3368,1,1,5:5,13501,13501
COMBINED,3854,1,1,6:5,6454,6454
COMBINED,6686,1,1,8:3,33670,33670
COMBINED,15626,2,1,0:6,50110,240000005594
COMBINED,16354,2,1,6:6,33670,188018
COMBINED,17812,1,1,7:6,33670,33670
COMBINED,59074,1,1,10:2,76562,76562
COMBINED,78126,1,1,0:7,108862,108862
COMBINED,531466,1,1,12:2,240000005594,240000005594
COMBINED,9772186,1,1,8:10,240000005594,240000005594
COMBINED,14352032,1,1,15:5,240000005594,240000005594
COMBINED,14548594,1,1,14:10,240000005594,240000005594
COMBINED,43046746,1,1,16:2,240000005594,240000005594
COMBINED,287187346,1,1,16:12,240000005594,240000005594
COMBINED,387421114,1,1,18:4,240000005594,240000005594
COMBINED,387436114,1,1,18:6,240000005594,240000005594
COMBINED,3486800026,1,1,20:6,240000005594,240000005594
COMBINED,6103515706,1,1,4:14,240000005594,240000005594
COMBINED,10460356328,1,1,21:5,240000005594,240000005594
COMBINED,30517578128,1,1,1:15,240000005594,240000005594
COMBINED,152592673594,1,1,14:16,240000005594,240000005594
