p,ord_p_3,ord_p_5,ord_p2_3,ord_p2_5,weight_1_over_max,maxfiber,alpha_exact
11,5,5,5,55,1/5,3,3/25
7,6,6,42,42,1/6,6,1/6
19,18,9,342,171,1/18,9,1/18
23,11,22,253,506,1/22,11,1/22
67,22,22,1474,1474,1/22,22,1/22
59,29,29,1711,1711,1/29,15,15/841
31,30,3,930,93,1/30,3,1/30
271,30,27,8130,7317,1/30,7,7/810
71,35,5,2485,355,1/35,4,4/175
43,42,42,1806,1806,1/42,42,1/42
47,23,46,1081,2162,1/46,23,1/46
131,65,65,8515,8515,1/65,33,33/4225
151,50,75,7550,11325,1/75,29,29/3750
79,78,39,6162,3081,1/78,39,1/78
83,41,82,3403,6806,1/82,41,1/82
179,89,89,15931,15931,1/89,45,45/7921
191,95,19,18145,3629,1/95,14,14/1805
2851,38,95,108338,270845,1/95,19,1/190
103,34,102,3502,10506,1/102,34,1/102
107,53,106,5671,11342,1/106,53,1/106
1091,109,109,118919,118919,1/109,17,17/11881
239,119,119,28441,28441,1/119,60,60/14161
367,122,122,44774,44774,1/122,122,1/122
251,125,25,31375,6275,1/125,16,16/3125
127,126,42,16002,5334,1/126,42,1/126
883,126,126,111258,111258,1/126,126,1/126
139,138,69,19182,9591,1/138,69,1/138
311,155,155,48205,48205,1/155,78,78/24025
163,162,54,26406,8802,1/162,54,1/162
167,83,166,13861,27722,1/166,83,1/166
1531,170,85,260270,130135,1/170,85,1/170
359,179,179,64261,64261,1/179,90,90/32041
199,198,33,39402,6567,1/198,33,1/198
419,209,209,87571,87571,1/209,105,105/43681
211,210,35,44310,7385,1/210,35,1/210
643,214,214,137602,137602,1/214,214,1/214
431,43,215,18533,92665,1/215,26,26/9245
439,146,219,64094,96141,1/219,80,40/15987
223,222,222,49506,49506,1/222,222,1/222
5107,138,222,704766,1133754,1/222,15,5/10212
227,113,226,25651,51302,1/226,113,1/226
6211,230,69,1428530,428559,1/230,23,1/690
1171,234,45,274014,52695,1/234,15,1/702
479,239,239,114481,114481,1/239,120,120/57121
491,49,245,24059,120295,1/245,28,4/1715
499,166,249,82834,124251,1/249,90,15/6889
2591,259,185,671069,479335,1/259,27,27/47915
263,131,262,34453,68906,1/262,131,1/262
4591,270,153,1239570,702423,1/270,18,1/2295
283,282,282,79806,79806,1/282,282,1/282
599,299,299,179101,179101,1/299,150,150/89401
307,34,306,10438,93942,1/306,34,1/306
619,206,309,127514,191271,1/309,111,37/21218
659,329,329,216811,216811,1/329,165,165/108241
331,330,165,109230,54615,1/330,165,1/330
347,173,346,60031,120062,1/346,173,1/346
719,359,359,258121,258121,1/359,180,180/128881
379,378,21,143262,7959,1/378,21,1/378
383,191,382,73153,146306,1/382,191,1/382
27091,258,387,6989478,10484217,1/387,129,1/774
827,413,118,341551,97586,1/413,71,71/48734
839,419,419,351541,351541,1/419,210,210/175561
1303,434,62,565502,80786,1/434,62,1/434
443,221,442,97903,195806,1/442,221,1/442
911,455,455,414505,414505,1/455,228,228/207025
919,306,459,281214,421821,1/459,162,1/867
463,462,462,213906,213906,1/462,462,1/462
467,233,466,108811,217622,1/466,233,1/466
971,485,485,470935,470935,1/485,243,243/235225
487,486,54,236682,26298,1/486,54,1/486
991,330,495,327030,490545,1/495,175,7/6534
503,251,502,126253,252506,1/502,251,1/502
205031,505,505,103540655,103540655,1/505,8,8/255025
1019,509,509,518671,518671,1/509,255,255/259081
3079,114,513,351006,1579527,1/513,57,1/1026
1031,515,515,530965,530965,1/515,258,258/265225
523,58,522,30334,273006,1/522,58,1/522
1051,210,525,220710,551775,1/525,116,58/55125
547,14,546,7658,298662,1/546,14,1/546
2791,558,465,1557378,1297815,1/558,111,37/86490
5591,559,559,3125369,3125369,1/559,69,69/312481
563,281,562,158203,316406,1/562,281,1/562
571,570,285,325470,162735,1/570,285,1/570
11971,570,315,6823470,3770865,1/570,28,2/12825
1151,575,575,661825,661825,1/575,288,288/330625
587,293,586,171991,343982,1/586,293,1/586
1759,586,293,1030774,515387,1/586,293,1/586
1783,594,162,1059102,288846,1/594,65,65/96228
607,606,606,367842,367842,1/606,606,1/606
1867,622,622,1161274,1161274,1/622,622,1/622
1259,629,629,791911,791911,1/629,315,315/395641
631,630,35,397530,22085,1/630,35,1/630
647,323,646,208981,417962,1/646,323,1/646
1319,659,659,869221,869221,1/659,330,330/434281
683,31,682,21173,465806,1/682,31,1/682
691,690,115,476790,79465,1/690,115,1/690
6971,205,697,1429055,4858787,1/697,37,37/142885
1399,466,699,651934,977901,1/699,244,122/162867
6991,466,699,3257806,4886709,1/699,233,1/1398
1439,719,719,1034641,1034641,1/719,360,360/516961
1451,725,725,1051975,1051975,1/725,363,363/525625
727,242,726,175934,527802,1/726,242,1/726
1471,294,735,432474,1081185,1/735,162,9/12005
739,738,123,545382,90897,1/738,123,1/738
5167,738,18,3813246,93006,1/738,18,1/738
743,371,742,275653,551306,1/742,371,1/742
1499,749,749,1122751,1122751,1/749,375,375/561001
751,750,375,563250,281625,1/750,375,1/750
1511,151,755,228161,1140805,1/755,87,87/114005
2287,762,254,1742694,580898,1/762,254,1/762
1559,779,779,1214461,1214461,1/779,390,390/606841
1571,785,785,1233235,1233235,1/785,393,393/616225
787,262,786,206194,618582,1/786,262,1/786
1619,809,809,1309771,1309771,1/809,405,405/654481
811,810,405,656910,328455,1/810,405,1/810
823,822,274,676506,225502,1/822,274,1/822
7507,834,834,6260838,6260838,1/834,834,1/834
859,858,429,737022,368511,1/858,429,1/858
863,431,862,371953,743906,1/862,431,1/862
887,443,886,392941,785882,1/886,443,1/886
8951,25,895,223775,8011145,1/895,9,9/22375
9011,901,901,8118911,8118911,1/901,109,109/811801
1811,905,905,1638955,1638955,1/905,453,453/819025
907,906,906,821742,821742,1/906,906,1/906
13711,914,457,12531854,6265927,1/914,457,1/914
2803,934,934,2618002,2618002,1/934,934,1/934
1871,17,935,31807,1749385,1/935,13,13/15895
1879,626,939,1176254,1764381,1/939,326,163/293907
947,473,946,447931,895862,1/946,473,1/946
1931,965,965,1863415,1863415,1/965,483,483/931225
967,322,966,311374,934122,1/966,322,1/966
983,491,982,482653,965306,1/982,491,1/982
9851,197,985,1940647,9703235,1/985,30,6/38809
1979,989,989,1957231,1957231,1/989,495,495/978121
10091,1009,1009,10181819,10181819,1/1009,120,120/1018081
6091,58,1015,353278,6182365,1/1015,29,1/2030
2039,1019,1019,2077741,2077741,1/1019,510,510/1038361
1039,1038,173,1078482,179747,1/1038,173,1/1038
2099,1049,1049,2201851,2201851,1/1049,525,525/1100401
2111,211,1055,445421,2227105,1/1055,115,23/44521
1063,1062,354,1128906,376302,1/1062,354,1/1062
2131,142,1065,302602,2269515,1/1065,88,44/75615
1087,1086,362,1180482,393494,1/1086,362,1/1086
2179,242,1089,527318,2372931,1/1089,139,139/263538
7687,854,1098,6564698,8440326,1/1098,139,139/937692
1103,551,1102,607753,1215506,1/1102,551,1/1102
1123,1122,374,1260006,420002,1/1122,374,1/1122
2251,250,1125,562750,2532375,1/1125,145,29/56250
10243,1138,1138,11656534,11656534,1/1138,1138,1/1138
1163,581,1162,675703,1351406,1/1162,581,1/1162
10459,1162,747,12153358,7812873,1/1162,107,107/868014
3499,1166,583,4079834,2039917,1/1166,583,1/1166
2339,1169,1169,2734291,2734291,1/1169,585,585/1366561
2351,1175,1175,2762425,2762425,1/1175,588,588/1380625
1187,593,1186,703891,1407782,1/1186,593,1/1186
2399,1199,1199,2876401,2876401,1/1199,600,600/1437601
2411,1205,1205,2905255,2905255,1/1205,603,603/1452025
3631,1210,363,4393510,1318053,1/1210,143,13/39930
1223,47,1222,57481,1494506,1/1222,47,1/1222
2459,1229,1229,3022111,3022111,1/1229,615,615/1510441
1231,1230,615,1514130,757065,1/1230,615,1/1230
2531,1265,1265,3201715,3201715,1/1265,633,633/1600225
2551,150,1275,382650,3252525,1/1275,87,29/63750
1279,1278,639,1634562,817281,1/1278,639,1/1278
1283,641,1282,822403,1644806,1/1282,641,1/1282
2579,1289,1289,3324331,3324331,1/1289,645,645/1661521
1291,1290,215,1665390,277565,1/1290,215,1/1290
1307,653,1306,853471,1706942,1/1306,653,1/1306
3967,1322,1322,5244374,5244374,1/1322,1322,1/1322
1327,1326,1326,1759602,1759602,1/1326,1326,1/1326
2671,890,1335,2377190,3565785,1/1335,462,77/198025
2699,1349,1349,3640951,3640951,1/1349,675,675/1819801
2711,1355,1355,3673405,3673405,1/1355,678,678/1836025
8191,910,1365,7453810,11180715,1/1365,455,1/2730
1367,683,1366,933661,1867322,1/1366,683,1/1366
34651,1386,315,48026286,10915065,1/1386,63,1/6930
2819,1409,1409,3971971,3971971,1/1409,705,705/1985281
