search,rank,shift,count,fraction
exact1_primary_1b,1,2,156518453,0.156518453000000002
exact1_primary_1b,2,4,142884338,0.142884338
exact1_primary_1b,3,6,118347634,0.118347633999999993
exact1_primary_1b,4,8,106874490,0.106874490000000003
exact1_primary_1b,5,10,82645567,0.0826455670000000031
exact1_primary_1b,6,14,64252010,0.0642520099999999983
exact1_primary_1b,7,28,55136077,0.0551360769999999986
exact1_primary_1b,8,32,43847490,0.0438474900000000029
exact1_primary_1b,9,26,43186159,0.0431861590000000017
exact1_primary_1b,10,34,29164804,0.029164803999999999
exact1_primary_1b,11,52,27489876,0.0274898759999999999
exact1_primary_1b,12,82,17887188,0.0178871879999999983
exact1_primary_1b,13,86,16453442,0.0164534419999999987
exact1_primary_1b,14,128,16179362,0.0161793619999999992
exact1_primary_1b,15,126,12476660,0.0124766600000000005
exact1_primary_1b,16,106,10786517,0.0107865170000000007
exact1_primary_1b,17,152,10018778,0.0100187780000000008
exact1_primary_1b,18,244,7021394,0.00702139400000000025
exact1_primary_1b,19,134,6302001,0.00630200099999999978
exact1_primary_1b,20,248,5069308,0.0050693079999999998
exact1_primary_1b,21,268,4264942,0.00426494199999999987
exact1_primary_1b,22,206,3717622,0.00371762199999999985
exact1_primary_1b,23,368,2637405,0.00263740499999999978
exact1_primary_1b,24,626,2146103,0.0021461029999999999
exact1_primary_1b,25,634,2120381,0.00212038100000000018
exact1_primary_1b,26,628,2096237,0.00209623699999999993
exact1_primary_1b,27,652,1811619,0.00181161899999999999
exact1_primary_1b,28,706,1281436,0.00128143599999999995
exact1_primary_1b,29,730,1008525,0.00100852499999999992
exact1_primary_1b,30,868,721758,0.00072175799999999997
exact1_dual_first100m_primary,1,2,15652199,0.15652199
exact1_dual_first100m_primary,2,4,14289400,0.142893999999999993
exact1_dual_first100m_primary,3,6,11835954,0.118359539999999999
exact1_dual_first100m_primary,4,8,10688476,0.106884759999999995
exact1_dual_first100m_primary,5,10,8264931,0.0826493100000000036
exact1_dual_first100m_primary,6,14,6424364,0.0642436400000000046
exact1_dual_first100m_primary,7,28,5512529,0.0551252900000000004
exact1_dual_first100m_primary,8,32,4384989,0.0438498900000000025
exact1_dual_first100m_primary,9,26,4316224,0.0431622399999999976
exact1_dual_first100m_primary,10,34,2916102,0.0291610199999999993
exact1_dual_first100m_primary,11,52,2749501,0.0274950100000000003
exact1_dual_first100m_primary,12,82,1788740,0.0178874000000000012
exact1_dual_first100m_primary,13,86,1644439,0.0164443899999999997
exact1_dual_first100m_primary,14,128,1618936,0.0161893599999999999
exact1_dual_first100m_primary,15,126,1246753,0.0124675299999999992
exact1_dual_first100m_primary,16,106,1077866,0.0107786600000000007
exact1_dual_first100m_primary,17,152,1001918,0.0100191800000000008
exact1_dual_first100m_primary,18,244,702520,0.00702519999999999967
exact1_dual_first100m_primary,19,134,629873,0.00629872999999999978
exact1_dual_first100m_primary,20,248,506050,0.00506049999999999989
exact1_dual_first100m_primary,21,268,427688,0.00427688000000000026
exact1_dual_first100m_primary,22,206,371739,0.0037173900000000001
exact1_dual_first100m_primary,23,368,263811,0.00263810999999999993
exact1_dual_first100m_primary,24,626,214550,0.00214549999999999984
exact1_dual_first100m_primary,25,634,212330,0.00212329999999999984
exact1_dual_first100m_primary,26,628,209971,0.00209970999999999986
exact1_dual_first100m_primary,27,652,181053,0.00181053000000000008
exact1_dual_first100m_primary,28,706,128410,0.00128410000000000004
exact1_dual_first100m_primary,29,730,101260,0.0010126
exact1_dual_first100m_primary,30,868,72076,0.000720759999999999977
odd13_dual_first100m_primary,1,2,15057525,0.150575249999999994
odd13_dual_first100m_primary,2,4,14024168,0.140241680000000007
odd13_dual_first100m_primary,3,6,11668545,0.116685449999999996
odd13_dual_first100m_primary,4,8,10521160,0.105211600000000002
odd13_dual_first100m_primary,5,10,8133655,0.0813365499999999936
odd13_dual_first100m_primary,6,14,6259968,0.0625996800000000048
odd13_dual_first100m_primary,7,28,5864986,0.0586498599999999981
odd13_dual_first100m_primary,8,32,4466843,0.044668430000000002
odd13_dual_first100m_primary,9,26,4255017,0.0425501699999999983
odd13_dual_first100m_primary,10,52,2924444,0.02924444
odd13_dual_first100m_primary,11,34,2882768,0.0288276800000000014
odd13_dual_first100m_primary,12,128,1807336,0.0180733600000000001
odd13_dual_first100m_primary,13,82,1764204,0.0176420400000000012
odd13_dual_first100m_primary,14,86,1683063,0.0168306299999999992
odd13_dual_first100m_primary,15,126,1357926,0.0135792599999999992
odd13_dual_first100m_primary,16,152,1135070,0.0113507
odd13_dual_first100m_primary,17,106,1045344,0.0104534399999999996
odd13_dual_first100m_primary,18,244,817410,0.00817410000000000012
odd13_dual_first100m_primary,19,134,645715,0.00645715000000000004
odd13_dual_first100m_primary,20,248,560411,0.00560410999999999982
odd13_dual_first100m_primary,21,268,504532,0.00504531999999999984
odd13_dual_first100m_primary,22,206,379276,0.00379276000000000005
odd13_dual_first100m_primary,23,368,299391,0.0029939099999999998
odd13_dual_first100m_primary,24,628,253346,0.00253345999999999997
odd13_dual_first100m_primary,25,634,231935,0.00231934999999999997
odd13_dual_first100m_primary,26,626,218538,0.00218537999999999979
odd13_dual_first100m_primary,27,652,211070,0.00211070000000000008
odd13_dual_first100m_primary,28,706,131162,0.0013116200000000001
odd13_dual_first100m_primary,29,730,102950,0.00102950000000000003
odd13_dual_first100m_primary,30,868,86899,0.00086899000000000004
allodd_dual_first100m_primary,1,2,14986689,0.149866890000000003
allodd_dual_first100m_primary,2,4,13993343,0.139933429999999998
allodd_dual_first100m_primary,3,6,11649385,0.116493849999999996
allodd_dual_first100m_primary,4,8,10499039,0.104990390000000003
allodd_dual_first100m_primary,5,10,8116620,0.0811661999999999939
allodd_dual_first100m_primary,6,14,6238252,0.0623825199999999969
allodd_dual_first100m_primary,7,28,5910181,0.0591018099999999977
allodd_dual_first100m_primary,8,32,4475530,0.0447552999999999979
allodd_dual_first100m_primary,9,26,4247519,0.0424751900000000029
allodd_dual_first100m_primary,10,52,2946559,0.0294655899999999998
allodd_dual_first100m_primary,11,34,2878036,0.0287803600000000014
allodd_dual_first100m_primary,12,128,1832868,0.01832868
allodd_dual_first100m_primary,13,82,1755720,0.0175571999999999985
allodd_dual_first100m_primary,14,86,1684727,0.016847270000000001
allodd_dual_first100m_primary,15,126,1373528,0.0137352800000000008
allodd_dual_first100m_primary,16,152,1153836,0.0115383599999999992
allodd_dual_first100m_primary,17,106,1037793,0.0103779300000000005
allodd_dual_first100m_primary,18,244,835433,0.00835433000000000009
allodd_dual_first100m_primary,19,134,645609,0.00645609000000000027
allodd_dual_first100m_primary,20,248,569311,0.00569311000000000036
