index,low,high,x_shifts,y_shifts,lattice_pairs,x_seconds,y_seconds,candidate_count
00,240000000001,240010000000,148,148,581189915,4.23496,3.02512,0
01,240010000001,240020000000,156,156,612631236,4.19281,2.85821,0
02,240020000001,240030000000,138,138,541928648,2.82421,2.55354,0
03,240030000001,240040000000,150,150,589047717,2.56545,2.67728,0
04,240040000001,240050000000,133,133,522273366,2.34914,2.47382,0
05,240050000001,240060000000,176,176,691148768,4.2868,4.44841,0
06,240060000001,240070000000,152,152,596921945,3.13689,6.16935,0
07,240070000001,240080000000,159,159,624393341,2.94984,3.17362,0
08,240080000001,240090000000,157,157,616539853,4.82798,2.96917,0
09,240090000001,240100000000,159,159,624373221,5.49937,3.05423,0
10,240100000001,240110000000,142,142,557648228,2.47656,2.75994,0
11,240110000001,240120000000,156,156,612621611,2.92439,3.12311,0
12,240120000001,240130000000,144,144,565464976,2.74377,2.87888,0
13,240130000001,240140000000,159,159,624411919,3.25455,3.44157,0
14,240140000001,240150000000,136,136,534054235,2.80193,2.61402,0
15,240150000001,240160000000,140,140,549805110,2.89149,2.67097,0
16,240160000001,240170000000,152,152,596889867,2.81387,2.9335,0
17,240170000001,240180000000,153,153,600839677,2.82683,2.81734,0
18,240180000001,240190000000,156,156,612608834,5.02873,2.93083,0
19,240190000001,240200000000,143,143,561541776,5.20754,2.79257,0
20,240200000001,240210000000,149,149,585148770,2.66658,2.91949,0
21,240210000001,240220000000,142,142,557624671,2.55035,2.82139,0
22,240220000001,240230000000,142,142,557636845,2.62932,3.02482,0
23,240230000001,240240000000,148,148,581185720,2.8772,2.78658,0
24,240240000001,240250000000,150,150,589040960,2.8146,2.86683,0
25,240250000001,240260000000,176,176,691175603,5.33601,5.10088,0
26,240260000001,240270000000,158,158,620460172,3.56119,4.8652,0
27,240270000001,240280000000,148,148,581193739,2.6416,3.76998,0
28,240280000001,240290000000,129,129,506561447,2.38109,2.62009,0
29,240290000001,240300000000,125,125,490888028,2.25377,2.38187,0
30,240300000001,240310000000,132,132,518388629,2.36486,4.63237,0
31,240310000001,240320000000,142,142,557616988,2.88683,4.52624,0
32,240320000001,240330000000,131,131,514425420,2.80987,4.08232,0
33,240330000001,240340000000,125,125,490870267,2.68889,2.40053,0
34,240340000001,240350000000,144,144,565505760,2.93296,2.69563,0
35,240350000001,240360000000,139,139,545853128,2.63222,2.68895,0
36,240360000001,240370000000,126,126,494800543,2.34289,2.38333,0
37,240370000001,240380000000,140,140,549767917,4.09412,2.68918,0
38,240380000001,240390000000,153,153,600827744,4.90548,2.91546,0
39,240390000001,240400000000,159,159,624408614,4.29688,3.12847,0
40,240400000001,240410000000,133,133,522295903,4.8694,2.51005,0
41,240410000001,240420000000,152,152,596911768,5.49575,3.03266,0
42,240420000001,240430000000,133,133,522275295,4.29584,2.67637,0
43,240430000001,240440000000,159,159,624397265,3.18964,3.12331,0
44,240440000001,240450000000,151,151,592966375,3.01077,3.34158,0
45,240450000001,240460000000,158,158,620483878,3.23619,3.44834,0
46,240460000001,240470000000,146,146,573347810,2.59567,3.00052,0
47,240470000001,240480000000,129,129,506561047,3.83786,2.45893,0
48,240480000001,240490000000,146,146,573337996,16.9091,3.04911,0
49,240490000001,240500000000,168,168,659733902,2.95712,3.82221,0
