rank,added_prime,pool_size,result,seconds,reason_unknown,decisions,conflicts,propagations,rlimit_count,max_memory_mb
1,3,1,unsat,0.01031399600003624,,,,,5456,18.0
2,7,2,unsat,0.02505290099998092,,2,3,144,60199,18.7
3,11,3,unsat,0.022184109000022545,,8,5,750,188653,18.98
4,19,4,unsat,0.037964780000038445,,21,12,3166,392203,20.06
5,23,5,unsat,0.05203429399989545,,56,41,9235,677113,21.18
6,31,6,unsat,0.07434176800006753,,92,66,17958,1054977,22.52
7,43,7,unsat,0.11586987500004398,,311,213,62557,1563326,24.44
8,47,8,unsat,0.2184452719999399,,1582,1257,518904,2633945,25.84
9,59,9,unsat,1.0691109119999282,,8963,7135,3689150,7087305,29.13
10,67,10,unknown,3.0118344780000825,timeout,21712,17714,11044053,19539246,31.15
11,71,11,unknown,3.016174740999986,timeout,17570,14703,10125116,31132818,42.31
12,79,12,unknown,3.0190344910000704,timeout,16244,13263,10018710,42879378,44.27
13,83,13,unknown,3.018434498999909,timeout,12228,9928,7680852,52367195,47.2
14,103,14,unknown,3.021595844999979,timeout,12344,9575,7136100,61385313,50.49
15,107,15,unknown,3.0245303289999583,timeout,12607,8711,8118210,71764522,50.49
16,127,16,unknown,3.027593431000014,timeout,11858,7996,7553589,81749480,52.61
