n,T
240000000001,52
240000000002,37
240000000003,73
240000000004,29
240000000005,49
240000000006,85
240000000007,62
240000000008,32
240000000009,87
240000000010,67
240000000011,55
240000000012,77
240000000013,51
240000000014,68
240000000015,70
240000000016,51
240000000017,52
240000000018,83
240000000019,52
240000000020,66
240000000021,85
240000000022,37
240000000023,43
240000000024,64
240000000025,52
240000000026,31
240000000027,93
240000000028,37
240000000029,49
240000000030,80
240000000031,70
240000000032,45
240000000033,78
240000000034,63
240000000035,59
240000000036,84
240000000037,56
240000000038,74
240000000039,83
240000000040,76
240000000041,53
240000000042,98
240000000043,54
240000000044,70
240000000045,80
240000000046,40
240000000047,45
240000000048,77
240000000049,54
240000000050,45
240000000051,89
240000000052,34
240000000053,62
240000000054,96
240000000055,47
240000000056,44
240000000057,85
240000000058,67
240000000059,47
240000000060,96
240000000061,47
240000000062,67
240000000063,90
240000000064,66
240000000065,61
240000000066,73
240000000067,46
240000000068,61
240000000069,71
240000000070,36
240000000071,44
240000000072,61
240000000073,44
240000000074,29
240000000075,76
240000000076,34
240000000077,60
240000000078,77
240000000079,52
240000000080,42
240000000081,77
240000000082,70
240000000083,56
240000000084,84
240000000085,52
240000000086,59
240000000087,76
240000000088,61
240000000089,65
240000000090,79
240000000091,45
240000000092,59
240000000093,74
240000000094,38
240000000095,50
240000000096,69
240000000097,48
240000000098,39
240000000099,74
240000000100,45
240000000101,53
240000000102,81
240000000103,58
240000000104,25
240000000105,82
240000000106,71
240000000107,57
240000000108,92
240000000109,50
240000000110,68
240000000111,88
240000000112,70
240000000113,59
240000000114,78
240000000115,62
240000000116,74
240000000117,76
240000000118,39
240000000119,65
240000000120,88
240000000121,48
240000000122,37
240000000123,82
240000000124,35
240000000125,48
240000000126,75
240000000127,53
240000000128,37
240000000129,90
240000000130,70
240000000131,54
240000000132,86
240000000133,46
240000000134,67
240000000135,86
240000000136,62
240000000137,60
240000000138,84
240000000139,54
240000000140,63
240000000141,92
240000000142,34
240000000143,48
240000000144,78
240000000145,46
